probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,2,-1.222162506060306,3.8935594120655113,729.9703009597123,643.883711342692,0.15,0.002078551821369956,-0.0037078790879235156,ball4_x-1.22_y+3.89_d0.15.png,1789038435.3013613,0.004617733054100626,0.02589209640325727,0.0037078790879235156,34.9344482421875,365.4945373535156,35.6585121154785,0,0.0,None,12
ball4,0,2,-1.222162506060306,3.8935594120655113,729.9703009597123,643.883711342692,0.3,0.15822915375454016,0.19509727116846703,ball4_x-1.22_y+3.89_d0.30.png,1789038436.6694493,0.006469205396785327,0.04077541674746747,-0.19509727116846703,34.93328857421875,365.4906616210937,35.50574874877929,2368,27.45465007031079,"[522.0295608108108, 957.902027027027]",12
ball4,1,2,0.11032231644183282,2.449531232099283,844.9851504798561,643.883711342692,0.15,0.04200312681143359,-0.011752633202368657,ball4_x+0.11_y+2.45_d0.15.png,1789038439.397622,0.012708135519463681,0.02799932584291067,0.011752633202368657,36.8107566833496,364.9030456542968,35.63581085205078,4756,38.90863424344407,"[703.5763246425568, 777.6175357443229]",12
ball4,1,2,0.11032231644183282,2.449531232099283,844.9851504798561,643.883711342692,0.3,0.20189382252869237,0.2556862872670848,ball4_x+0.11_y+2.45_d0.30.png,1789038440.7658124,0.02122988038682294,0.036732150085238224,-0.2556862872670848,36.8148193359375,364.8997802734375,35.48452377319336,36746,108.15089032324039,"[703.201627388015, 795.4095411745496]",12
ball4,2,2,1.442807138943973,1.0055030521330526,960.0,643.883711342692,0.15,0.0811169129361069,-0.008623734009452733,ball4_x+1.44_y+1.01_d0.15.png,1789038443.6898904,0.014611903802201454,0.027637506370210473,0.008623734009452733,38.6866226196289,364.3150634765625,35.61598968505859,15130,69.39761219206864,"[902.9807666886979, 706.3420356906807]",12
ball4,2,2,1.442807138943973,1.0055030521330526,960.0,643.883711342692,0.3,0.2496296608774351,0.2505540588097489,ball4_x+1.44_y+1.01_d0.30.png,1789038445.05806,0.01861901537895605,0.03863973823381404,-0.2505540588097489,38.68628311157226,364.3246154785156,35.46572875976562,55081,132.4115812189001,"[907.57762204753, 721.5223398268005]",12
ball4,3,2,2.775291961446112,-0.4385251278331759,1075.0148495201438,643.883711342692,0.15,0.12336384593287875,0.04375194767175685,ball4_x+2.78_y-0.44_d0.15.png,1789038448.5702734,0.010277034184639789,0.0330915087900415,-0.04375194767175685,40.55976486206054,363.7346801757812,35.59704208374023,12414,62.860949142417326,"[1108.7501208313195, 651.9127597873369]",12
ball4,3,2,2.775291961446112,-0.4385251278331759,1075.0148495201438,643.883711342692,0.3,0.2786222882541516,0.24584551084761586,ball4_x+2.78_y-0.44_d0.30.png,1789038449.934385,0.017822495909321036,0.03765389518788389,-0.24584551084761586,40.56674194335937,363.7334899902343,35.4486846923828,56828,134.49503415387667,"[1120.7062715562752, 669.948810445555]",12
ball4,4,2,4.107776783948253,-1.8825533077994079,1190.0296990402878,643.883711342692,0.15,0.17358844830733489,0.04716059265560375,ball4_x+4.11_y-1.88_d0.15.png,1789038452.8625534,0.009393662335730468,0.03181310199582814,-0.04716059265560375,42.43678283691406,363.1459655761718,35.57146835327148,8694,52.605951664064364,"[1380.4890729238555, 571.9579020013803]",12
ball4,4,2,4.107776783948253,-1.8825533077994079,1190.0296990402878,643.883711342692,0.3,0.3387164878779849,0.34971025519048454,ball4_x+4.11_y-1.88_d0.30.png,1789038454.2265553,0.021322363042743576,0.03464446786507551,-0.34971025519048454,42.44303131103515,363.147216796875,35.41693878173828,49101,125.01733368421479,"[1390.2663082218285, 618.5567911040508]",12
