t,Fx,Fy,Fz,Tx,Ty,Tz
1788794208.148948,-0.00381,0.00635,-0.11399,6e-05,-0.00011,-1e-05
1788794208.169136,0.00304,0.00468,-0.13775,-6e-05,-0.00018,0.00017
1788794208.189417,-0.00224,0.00435,-0.13825,0.00011,-1e-05,-1e-05
1788794208.209738,0.0009,0.00777,-0.13344,-5e-05,-3e-05,0.00012
1788794208.228918,-0.00088,0.00389,-0.13931,1e-05,-3e-05,0.00011
1788794208.249147,0.0028,0.00602,-0.14203,-5e-05,-3e-05,0.00016
1788794208.269524,0.00061,0.00638,-0.11952,-0.00017,-0.00011,5e-05
1788794208.288759,0.00107,0.00449,-0.12444,-6e-05,-0.00011,2e-05
1788794208.309088,0.00155,0.00971,-0.11287,-3e-05,-5e-05,2e-05
1788794208.329466,0.00068,0.01151,-0.14609,0.00011,3e-05,1e-05
1788794208.349867,-0.00018,0.00373,-0.14551,-1e-05,-5e-05,0.00018
1788794208.369367,0.00156,0.00329,-0.11552,-5e-05,-1e-05,-2e-05
1788794208.389061,-0.0014,0.00153,-0.14823,5e-05,-5e-05,-5e-05
1788794208.409107,-0.00151,0.00402,-0.14709,5e-05,-3e-05,-4e-05
1788794208.429557,0.00224,0.00276,-0.18403,-7e-05,-0.00012,0.00027
1788794208.449580,-0.00052,0.00559,-0.1695,9e-05,-1e-05,4e-05
1788794208.468857,-0.00056,0.00973,-0.17282,-5e-05,-5e-05,0.00016
1788794208.489225,0.0008,0.01019,-0.16591,-0.00016,0.0,0.0
1788794208.509414,0.00162,0.00699,-0.17638,-0.00014,-9e-05,7e-05
1788794208.529201,0.00351,0.00791,-0.18496,-0.00018,-5e-05,0.00012
1788794208.548912,0.00391,0.0102,-0.20138,2e-05,-0.00017,1e-05
1788794208.568931,0.00134,0.00693,-0.18009,-0.00019,-0.00016,-6e-05
1788794208.589406,0.00203,0.01284,-0.17503,-0.00017,-6e-05,-0.0001
1788794208.608743,0.00328,0.01059,-0.17675,-0.00024,-0.00028,-8e-05
1788794208.629009,-0.00181,0.01261,-0.17762,-0.0002,-0.00017,-0.00017
1788794208.649132,0.00156,0.00239,-0.19838,-0.00021,-0.00015,-0.00011
1788794208.669729,0.00227,0.0081,-0.20586,-9e-05,-7e-05,3e-05
1788794208.688869,0.0034,0.01158,-0.21313,-0.00026,-0.00011,3e-05
1788794208.709167,0.00052,0.01276,-0.22142,-0.00013,7e-05,0.00011
1788794208.729420,-0.00258,0.01457,-0.22359,-0.00018,3e-05,9e-05
1788794208.749717,-0.00395,0.0087,-0.22263,-5e-05,9e-05,-7e-05
1788794208.768885,0.00275,0.00986,-0.22777,-0.00013,-4e-05,6e-05
1788794208.788878,-0.00039,0.01013,-0.23558,-0.00017,-0.00017,9e-05
1788794208.809029,0.00094,0.01241,-0.22028,-0.00015,-0.00011,-0.00013
1788794208.829334,0.00317,0.01272,-0.22899,-0.00022,-6e-05,2e-05
1788794208.849030,0.00225,0.01353,-0.2171,-0.00046,-0.00025,-4e-05
1788794208.869341,0.00555,0.01692,-0.22524,-0.00024,-0.00013,-0.00014
1788794208.889063,-0.00045,0.01119,-0.24727,-0.0001,3e-05,-0.00014
1788794208.909379,0.00491,0.01373,-0.23515,-0.00045,-0.00025,6e-05
1788794208.928679,0.00469,0.01376,-0.26667,-0.00028,-9e-05,0.00013
1788794208.948997,0.00623,0.01328,-0.25035,-0.00026,-0.0002,-5e-05
1788794208.969408,0.00181,0.0132,-0.27359,-0.0003,-0.00015,0.00016
1788794208.989466,-0.00046,0.02153,-0.26875,1e-05,0.00015,-0.00012
1788794209.009133,-0.00101,0.01386,-0.26035,-0.00024,-0.0001,-0.00011
1788794209.029702,0.00227,0.01427,-0.29948,-0.00014,-7e-05,0.00014
1788794209.048919,8e-05,0.01746,-0.27118,-0.00028,-0.00016,6e-05
1788794209.069077,-0.00189,0.01317,-0.28548,-3e-05,-8e-05,7e-05
1788794209.089396,0.00292,0.01258,-0.25952,-0.00033,-0.00029,-2e-05
1788794209.109641,0.00483,0.01551,-0.2946,-0.00026,-0.00021,0.00022
1788794209.129674,-0.00412,0.00941,-0.27617,-0.00019,-0.0002,-5e-05
1788794209.148733,0.00428,0.01521,-0.26328,-0.00047,-0.0002,4e-05
1788794209.168874,0.00307,0.00991,-0.27667,-0.00018,-0.00014,-0.00011
1788794209.188914,-0.0001,0.01419,-0.26377,-0.00018,3e-05,-7e-05
1788794209.209315,-0.00034,0.01348,-0.2756,-0.00024,3e-05,-5e-05
1788794209.229432,-0.0007,0.0225,-0.27661,-0.00036,-0.00014,-2e-05
1788794209.249763,8e-05,0.01476,-0.30107,-0.0002,-0.0002,-0.0001
1788794209.268969,0.00119,0.01712,-0.30641,-0.00027,-5e-05,8e-05
1788794209.289586,0.00078,0.01785,-0.2971,-0.00031,-6e-05,-1e-05
1788794209.308661,0.00274,0.02068,-0.28868,-0.00057,-0.0001,6e-05
1788794209.329026,0.00564,0.01963,-0.3218,-0.00019,-9e-05,7e-05
1788794209.349403,0.00052,0.01817,-0.32295,-0.00036,1e-05,0.00017
1788794209.368715,0.00621,0.01718,-0.31848,-0.00039,-0.00013,0.0002
1788794209.388937,0.00491,0.01375,-0.31887,-0.00044,-0.00023,0.00013
1788794209.409137,0.00071,0.02086,-0.3046,-0.00032,-0.00012,-3e-05
1788794209.429454,-0.00348,0.01809,-0.30888,-0.00019,-3e-05,-0.00013
1788794209.448972,0.00139,0.01499,-0.31628,-0.00018,4e-05,-0.00016
1788794209.468994,0.00127,0.01913,-0.32166,-0.00025,-7e-05,-3e-05
1788794209.489160,-0.00143,0.01831,-0.33332,-0.00027,-0.00018,6e-05
1788794209.509488,-7e-05,0.01216,-0.34388,-0.00017,-0.00017,9e-05
1788794209.529587,0.00206,0.01585,-0.34128,-0.00029,-9e-05,4e-05
1788794209.548665,-0.00266,0.01401,-0.35534,-7e-05,-0.00015,-4e-05
1788794209.568989,-0.0027,0.01448,-0.35964,-0.00015,-0.00013,0.00012
1788794209.589373,0.00168,0.01881,-0.34861,-0.00032,-0.00028,1e-05
1788794209.608630,0.00442,0.01586,-0.36609,-0.0002,-0.00023,0.00011
1788794209.628989,-0.00063,0.0138,-0.36933,-0.0002,-0.00021,2e-05
