sensor,width_px,height_px,seed,fz_mae,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,n_train,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,batch,seconds
hard_1mm_r1,160,90,1,0.0413299985229969,0.41869986057281494,0.9898568391799927,0.05457812920212746,0.08423195034265518,933,67,1.9910300970077515,0.0012077527353540063,0.0004239064292050898,0.0001528272550785914,30,64,3.3
hard_1mm_r1,160,90,2,0.02743716724216938,0.41869986057281494,0.9954068660736084,0.01307839248329401,0.08423195034265518,933,67,1.9910300970077515,0.0004416952724568546,0.00028638666844926775,0.00012795963266398758,30,64,3.3
hard_1mm_r1,160,90,3,0.026907017454504967,0.41869986057281494,0.9956312775611877,0.019297439604997635,0.08423195034265518,933,67,1.9910300970077515,0.000696110597345978,0.0004060993669554591,0.00013763886818196625,30,64,3.3
hard_1mm_r1,160,90,4,0.02270541526377201,0.41869986057281494,0.9970825910568237,0.015164435841143131,0.08423195034265518,933,67,1.9910300970077515,0.00039059011032804847,0.0002920409897342324,0.0001336355780949816,30,64,3.3
medium_1mm_r1,1920,1080,0,0.0505267009139061,0.23985648155212402,0.9617222547531128,0.04260906204581261,0.14833584427833557,891,109,1.872209906578064,0.0005699576577171683,0.0012357044033706188,0.00024878812837414443,30,4,342.0
medium_1mm_r1,1920,1080,1,0.04678311198949814,0.23985648155212402,0.969296395778656,0.028066283091902733,0.14833584427833557,891,109,1.872209906578064,0.0005597941344603896,0.0006394420634023845,0.00019245990552008152,30,4,341.4
medium_1mm_r1,1920,1080,2,0.09478835761547089,0.23985648155212402,0.897172212600708,0.03311678394675255,0.14833584427833557,891,109,1.872209906578064,0.0005300305201672018,0.001096471562050283,0.0002306854585185647,30,4,340.8
medium_1mm_r1,1920,1080,3,0.05161703750491142,0.23985648155212402,0.9603854417800903,0.031062442809343338,0.14833584427833557,891,109,1.872209906578064,0.000682978774420917,0.0007347978535108268,0.0001940768415806815,30,4,341.0
medium_1mm_r1,1920,1080,4,0.08622822910547256,0.23985648155212402,0.8977080583572388,0.04232945293188095,0.14833584427833557,891,109,1.872209906578064,0.00070148182567209,0.0006353543722070754,0.00025792603264562786,30,4,341.1
medium_1mm_r1,640,360,0,0.06474267691373825,0.23985648155212402,0.94400554895401,0.027051163837313652,0.14833584427833557,891,109,1.872209906578064,0.0005245519569143653,0.0007861986523494124,0.0002208664227509871,30,44,39.4
medium_1mm_r1,640,360,1,0.05933300033211708,0.23985648155212402,0.9497342705726624,0.03162597864866257,0.14833584427833557,891,109,1.872209906578064,0.0007486484828405082,0.0007400662289001048,0.00023688608780503273,30,44,38.8
medium_1mm_r1,640,360,2,0.05971647426486015,0.23985648155212402,0.9450791478157043,0.03502584248781204,0.14833584427833557,891,109,1.872209906578064,0.0008052564226090908,0.0006088141235522926,0.0002377742639509961,30,44,38.9
medium_1mm_r1,640,360,3,0.11721408367156982,0.23985648155212402,0.8427624702453613,0.028096677735447884,0.14833584427833557,891,109,1.872209906578064,0.0005813339375890791,0.0006250019068829715,0.00026194905512966216,30,44,38.8
medium_1mm_r1,640,360,4,0.05349750071763992,0.23985648155212402,0.9575756788253784,0.04570474848151207,0.14833584427833557,891,109,1.872209906578064,0.0012575890868902206,0.001109421020373702,0.0002090656489599496,30,44,38.9
medium_1mm_r1,160,90,0,0.04675896093249321,0.23985648155212402,0.9673586487770081,0.026822330430150032,0.14833584427833557,891,109,1.872209906578064,0.0006147345411591232,0.00083842349704355,0.0002452522167004645,30,64,4.1
medium_1mm_r1,160,90,1,0.06032024323940277,0.23985648155212402,0.9527935981750488,0.03049190528690815,0.14833584427833557,891,109,1.872209906578064,0.0006817751564085484,0.0006655629840679467,0.00025977444602176547,30,64,3.1
