sensor,width_px,height_px,split,seed,fx_mae,fy_mae,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds,hardness,thickness_mm,suspect_hardware
hard_3mm_r2,854,480,cycle,1,0.0212000124156475,0.0330954231321811,0.0489072613418102,0.0638435259461402,0.2979480624198913,0.9706900119781494,0.0335411913692951,0.1721290946006775,0.9610370397567748,0.0278239380568265,0.0673469305038452,87,67,none,2,673,173,154,2.0113799571990967,0.0012136431178078,0.0005231522955,0.0001058900670614,30,30,30,0.1700176792371503,0.2250157456866578,64,24,3,50.9,hard,3,False
hard_3mm_r2,854,480,cycle,2,0.024698032066226,0.040974274277687,0.0500412993133068,0.0627535358071327,0.2979480624198913,0.9716822504997252,0.0339133031666278,0.1721290946006775,0.9541651010513306,0.0432911999523639,0.0664281100034713,87,67,none,2,673,173,154,2.0113799571990967,0.0008429167210124,0.0005363467498682,0.0001037176916725,30,30,24,0.1850331113030262,0.2182660075281396,64,24,3,50.8,hard,3,False
hard_3mm_r2,640,360,cycle,0,0.0216430909931659,0.0263860467821359,0.0437682121992111,0.0574288666248321,0.2979480624198913,0.9762839078903198,0.0279510114341974,0.1721290946006775,0.9702977538108826,0.0286722462624311,0.0582330897450447,87,67,none,2,673,173,154,2.0113799571990967,0.0005329241394065,0.0004830990801565,0.0001116095736506,30,30,29,0.1524068540485263,0.1993333039256189,64,44,1,29.0,hard,3,False
hard_3mm_r2,640,360,cycle,1,0.0257023330777883,0.0437476560473442,0.0695332214236259,0.084890104830265,0.2979480624198913,0.9481801390647888,0.042960699647665,0.1721290946006775,0.9358950257301332,0.0350356064736843,0.0610728897154331,87,67,none,2,673,173,154,2.0113799571990967,0.0007323467871174,0.0006021342705935,0.0001069959034794,30,30,26,0.1608714883784482,0.2295077329426142,64,44,1,28.4,hard,3,False
hard_3mm_r2,640,360,cycle,2,0.020901683717966,0.0269358120858669,0.0539148822426795,0.067265436053276,0.2979480624198913,0.9674638509750366,0.0265419147908687,0.1721290946006775,0.9717804789543152,0.0275106485933065,0.0573424883186817,87,67,none,2,673,173,154,2.0113799571990967,0.0006396831013262,0.0007478073821403,0.0001198301761178,30,30,27,0.1775966133440763,0.2268968041921626,64,44,1,28.5,hard,3,False
hard_3mm_r2,426,240,cycle,0,0.0374299921095371,0.0433373637497425,0.0632560551166534,0.0781518891453743,0.2979480624198913,0.9560800790786744,0.0390905477106571,0.1721290946006775,0.9438546895980836,0.0477242432534694,0.0666144639253616,87,67,none,2,673,173,154,2.0113799571990967,0.0006387832108885,0.0008610693039372,0.0001063271629391,30,30,30,0.1428264189970971,0.2388671698597814,64,64,1,14.5,hard,3,False
hard_3mm_r2,426,240,cycle,1,0.0315935052931308,0.030504111200571,0.0868407636880874,0.1017722114920616,0.2979480624198913,0.9255198240280152,0.0248447265475988,0.1721290946006775,0.9771844744682312,0.0293404348194599,0.1009032130241394,87,67,none,2,673,173,154,2.0113799571990967,0.0005647614598274,0.0007789710070937,0.0001085436379071,30,30,24,0.1713191354079905,0.2332308940115691,64,64,1,13.0,hard,3,False
hard_3mm_r2,426,240,cycle,2,0.0240105669945478,0.0300426911562681,0.0614556968212127,0.0772390812635421,0.2979480624198913,0.9571000933647156,0.0252513773739337,0.1721290946006775,0.9736447930336,0.0308188386261463,0.0637917071580886,87,67,none,2,673,173,154,2.0113799571990967,0.0006794921355322,0.0006511845858767,0.0001112767349695,30,30,30,0.1570631632301818,0.2146988741924308,64,64,1,12.9,hard,3,False
hard_3mm_r2,320,180,cycle,0,0.0239708442240953,0.0396489314734935,0.051904872059822,0.067144013941288,0.2979480624198913,0.9675812125205994,0.0291785262525081,0.1721290946006775,0.9671759605407716,0.0342936776578426,0.063069075345993,87,67,none,2,673,173,154,2.0113799571990967,0.0007101115188561,0.0005055163637734,0.0001093052051146,30,30,29,0.1805180043734909,0.2300387310843936,64,64,1,8.8,hard,3,False
hard_3mm_r2,320,180,cycle,1,0.0219214912503957,0.0253861956298351,0.0762070417404174,0.092248685657978,0.2979480624198913,0.9388068914413452,0.0242341216653585,0.1721290946006775,0.975349485874176,0.0256369039416313,0.0818343460559845,87,67,none,2,673,173,154,2.0113799571990967,0.001076518674381,0.0004532317980192,0.0001137609797297,30,30,16,0.2138574112754697,0.2245806324688685,64,64,1,7.6,hard,3,False
