t,Fx,Fy,Fz,Tx,Ty,Tz
1788453666.713027,0.0102,-0.00312,-0.08738,-8e-05,-8e-05,0.00031
1788453666.733189,0.0059,-0.00215,-0.09072,6e-05,0.00011,0.00035
1788453666.752382,0.00722,-0.0043,-0.08581,-0.00011,-0.0002,0.00037
1788453666.772954,0.00105,0.0019,-0.10154,0.0001,0.00018,0.00021
1788453666.792218,0.00279,-0.00239,-0.0945,0.00029,0.00015,0.00018
1788453666.812801,0.008,0.00272,-0.09885,4e-05,-0.00022,0.00035
1788453666.833213,0.00392,0.00301,-0.08142,2e-05,1e-05,0.00026
1788453666.852309,0.00395,0.00333,-0.11756,0.00032,0.00016,0.00035
1788453666.872963,0.00449,-0.00433,-0.0954,0.0001,6e-05,0.00031
1788453666.893167,0.00509,-0.00045,-0.10666,7e-05,-6e-05,0.00031
1788453666.912379,0.00665,0.00148,-0.08876,0.00011,-0.0,0.00026
1788453666.932358,0.00631,-0.00289,-0.08309,0.0001,7e-05,0.00018
1788453666.954340,0.00338,-0.00243,-0.12112,0.00042,0.00013,0.00031
1788453666.973098,0.00649,-0.0025,-0.10996,0.00014,1e-05,0.00024
1788453666.993208,0.01107,0.00838,-0.08709,1e-05,0.00021,0.00019
1788453667.012233,0.00727,0.00766,-0.09979,-0.00024,0.0001,0.00027
1788453667.032248,0.01049,0.01137,-0.11643,-6e-05,0.00026,0.0002
1788453667.052249,0.0081,0.00613,-0.07716,-0.00035,7e-05,0.00014
1788453667.073364,0.00963,0.0022,-0.08962,-0.00023,8e-05,0.0001
1788453667.093206,0.00795,0.00438,-0.10364,1e-05,-6e-05,0.0
1788453667.112669,0.01092,0.00735,-0.08629,-6e-05,0.00014,0.00012
1788453667.133062,0.01353,0.00485,-0.08948,-0.00042,-0.00014,0.0003
1788453667.152439,0.00765,0.00639,-0.0938,-0.00014,0.0,8e-05
1788453667.172916,0.01234,0.00813,-0.09704,-7e-05,-3e-05,0.00012
1788453667.193145,0.01122,0.00077,-0.09934,0.00015,8e-05,6e-05
1788453667.212483,0.00884,0.00567,-0.11383,0.00029,0.00016,0.0002
1788453667.232893,0.01137,0.00234,-0.08521,-0.00016,6e-05,0.00011
1788453667.253179,0.00971,0.00277,-0.06379,-0.00016,-6e-05,-2e-05
1788453667.273039,0.00917,0.00435,-0.0738,-0.00022,3e-05,0.00012
1788453667.292468,0.00912,0.00308,-0.08303,1e-05,-0.0,-3e-05
1788453667.312235,0.00423,0.00808,-0.06106,-6e-05,0.00014,-0.00021
1788453667.333125,0.00285,0.00048,-0.04809,-0.0002,1e-05,-0.00021
1788453667.352967,0.01209,0.00397,-0.05195,-0.00019,-0.0001,2e-05
1788453667.373375,0.01219,-0.00026,-0.0646,-2e-05,3e-05,5e-05
1788453667.392719,0.01229,0.00257,-0.09768,-3e-05,-4e-05,0.00025
1788453667.413065,0.00948,0.00159,-0.08999,-0.00011,0.0,-0.0001
1788453667.432242,0.01075,0.00394,-0.08417,-0.00025,-5e-05,-2e-05
1788453667.452796,0.00712,0.00084,-0.10303,-0.00012,-0.00017,-0.0001
