sensor,probe,width_px,mae_mm
hard_1mm_r1,cube4,48,0.1349871468923951
hard_1mm_r1,cube4,80,0.0453839755189881
hard_1mm_r1,cube4,160,0.0425394734745297
hard_1mm_r1,cube4,320,0.056054729490972
hard_1mm_r1,cube4,426,0.0607689700438296
hard_1mm_r1,cube4,640,0.0763757042470043
hard_1mm_r1,cube4,854,0.0839811485764846
hard_1mm_r1,cube4,1280,0.0959535173489367
hard_1mm_r1,cube4,1920,0.108747843447262
hard_1mm_r2,cyl4,16,0.3472503227844016
hard_1mm_r2,cyl4,32,0.2395736087982863
hard_1mm_r2,cyl4,48,0.1460486065534263
hard_1mm_r2,cyl4,80,0.0543161363810528
hard_1mm_r2,cyl4,160,0.0744410789134247
hard_1mm_r2,cyl4,320,0.0769057650975114
hard_1mm_r2,cyl4,426,0.0751638033533114
hard_1mm_r2,cyl4,640,0.07058340791481
hard_1mm_r2,cyl4,854,0.0687626039585779
hard_1mm_r2,cyl4,1280,0.0626568165532476
hard_1mm_r2,cyl4,1920,0.0537704556391034
hard_1mm_r2,cube4,16,0.3237889213939198
hard_1mm_r2,cube4,32,0.1876701436767665
hard_1mm_r2,cube4,48,0.1017063387810873
hard_1mm_r2,cube4,80,0.064161462866366
hard_1mm_r2,cube4,160,0.0794243776436095
hard_1mm_r2,cube4,320,0.0775379941618249
hard_1mm_r2,cube4,426,0.0769742333838507
hard_1mm_r2,cube4,640,0.0719829860700163
hard_1mm_r2,cube4,854,0.0710819304701431
hard_1mm_r2,cube4,1280,0.0656394660175957
hard_1mm_r2,cube4,1920,0.0561850075701121
hard_2mm_r1,cyl4,16,0.2789019105083642
hard_2mm_r1,cyl4,32,0.2426696351236482
hard_2mm_r1,cyl4,48,0.0856177698276238
hard_2mm_r1,cyl4,80,0.0584010875068769
hard_2mm_r1,cyl4,160,0.069960697363111
hard_2mm_r1,cyl4,320,0.0738884653796518
hard_2mm_r1,cyl4,426,0.0717227223179002
hard_2mm_r1,cyl4,640,0.0687229817686405
hard_2mm_r1,cyl4,854,0.0648725365138312
hard_2mm_r1,cyl4,1280,0.0604315846283826
hard_2mm_r1,cyl4,1920,0.0523541002159415
hard_2mm_r1,cube4,16,0.2857178290587215
hard_2mm_r1,cube4,32,0.184150087827931
hard_2mm_r1,cube4,48,0.0470975549405772
hard_2mm_r1,cube4,80,0.0706150499813033
hard_2mm_r1,cube4,160,0.0881602013503286
hard_2mm_r1,cube4,320,0.0889394135699692
hard_2mm_r1,cube4,426,0.0901126153631531
hard_2mm_r1,cube4,640,0.081402584896835
hard_2mm_r1,cube4,854,0.0752952063010159
hard_2mm_r1,cube4,1280,0.0699130314336257
hard_2mm_r1,cube4,1920,0.0624710770180237
hard_2mm_r2,cyl4,8,0.6736171387252811
hard_2mm_r2,cyl4,16,0.2643138969145613
hard_2mm_r2,cyl4,32,0.1600218153365058
hard_2mm_r2,cyl4,48,0.0770857383458666
hard_2mm_r2,cyl4,80,0.0597434895783948
hard_2mm_r2,cyl4,160,0.0893738859721284
hard_2mm_r2,cyl4,320,0.0899144780589402
hard_2mm_r2,cyl4,426,0.0874225453861813
hard_2mm_r2,cyl4,640,0.0869808523264418
hard_2mm_r2,cyl4,854,0.0819165301271832
hard_2mm_r2,cyl4,1280,0.0717862633647412
hard_2mm_r2,cyl4,1920,0.0537366026050736
hard_2mm_r2,cube4,8,0.6666909033398755
hard_2mm_r2,cube4,16,0.2729705888505632
hard_2mm_r2,cube4,32,0.1609944818507559
hard_2mm_r2,cube4,48,0.0982954895710872
hard_2mm_r2,cube4,80,0.0545034208250901
hard_2mm_r2,cube4,160,0.0697147283989861
hard_2mm_r2,cube4,320,0.072747013032553
hard_2mm_r2,cube4,426,0.0686931179812724
hard_2mm_r2,cube4,640,0.0636700756804415
hard_2mm_r2,cube4,854,0.0607931249421108
hard_2mm_r2,cube4,1280,0.0546998693874745
hard_2mm_r2,cube4,1920,0.0548150178632067
hard_3mm_r1,cyl4,8,0.5240269813352789
hard_3mm_r1,cyl4,16,0.2428334814228804
hard_3mm_r1,cyl4,32,0.1543524231013952
hard_3mm_r1,cyl4,48,0.0893258687820575
hard_3mm_r1,cyl4,80,0.0934819353328196
hard_3mm_r1,cyl4,160,0.0990396048664431
hard_3mm_r1,cyl4,320,0.0906406880871502
hard_3mm_r1,cyl4,426,0.0925034895950934
hard_3mm_r1,cyl4,640,0.0816346241158956
hard_3mm_r1,cyl4,854,0.0748999699120105
hard_3mm_r1,cyl4,1280,0.0598917535981201
hard_3mm_r1,cyl4,1920,0.0476677572690695
hard_3mm_r1,cube4,8,0.6036786101448287
hard_3mm_r1,cube4,16,0.2232223780622965
hard_3mm_r1,cube4,32,0.1682362456806251
hard_3mm_r1,cube4,48,0.087681537463044
hard_3mm_r1,cube4,80,0.0819457639532377
hard_3mm_r1,cube4,160,0.0818827705360541
hard_3mm_r1,cube4,320,0.0801755547426233
hard_3mm_r1,cube4,426,0.076140334261168
hard_3mm_r1,cube4,640,0.0661074901523281
hard_3mm_r1,cube4,854,0.0618794321916589
hard_3mm_r1,cube4,1280,0.0522538944050262
hard_3mm_r1,cube4,1920,0.0520215237989542
hard_3mm_r2,cyl4,16,0.4894484646075201
hard_3mm_r2,cyl4,32,0.2994940528516867
hard_3mm_r2,cyl4,48,0.1068099296626016
hard_3mm_r2,cyl4,80,0.075902010061007
hard_3mm_r2,cyl4,160,0.0709479839789207
hard_3mm_r2,cyl4,320,0.065004276339185
hard_3mm_r2,cyl4,426,0.1749896172008053
hard_3mm_r2,cyl4,640,0.1645761637832709
hard_3mm_r2,cyl4,854,0.1110287647113492
hard_3mm_r2,cyl4,1280,0.160495980168452
hard_3mm_r2,cyl4,1920,0.1307790509399339
hard_3mm_r2,cube4,16,0.4453645098298224
hard_3mm_r2,cube4,32,0.2600432418251467
hard_3mm_r2,cube4,48,0.064952609428424
hard_3mm_r2,cube4,80,0.0607272794675542
hard_3mm_r2,cube4,160,0.0622543545433889
hard_3mm_r2,cube4,320,0.0609527536351493
hard_3mm_r2,cube4,426,0.1744289712035538
hard_3mm_r2,cube4,640,0.1903888905929112
hard_3mm_r2,cube4,854,0.1141236560927414
hard_3mm_r2,cube4,1280,0.1659496351963861
hard_3mm_r2,cube4,1920,0.121624196379327
