sensor,probe,width_px,mae_mm,suspect_hardware
hard_2mm_r2,cyl4,320,0.0489470830274542,False
hard_2mm_r2,cyl4,426,0.0461014791065209,False
hard_2mm_r2,cyl4,640,0.0465805461020229,False
hard_2mm_r2,cyl4,854,0.0508282925301553,False
hard_2mm_r2,cyl4,1280,0.0580961599648928,False
hard_2mm_r2,cyl4,1920,0.0800700643423633,False
hard_2mm_r2,cube4,8,0.6666909033398755,False
hard_2mm_r2,cube4,16,0.2110686711312261,False
hard_2mm_r2,cube4,32,0.2164790983588424,False
hard_2mm_r2,cube4,48,0.1631301280698107,False
hard_2mm_r2,cube4,80,0.1199161869129466,False
hard_2mm_r2,cube4,160,0.0716444830298723,False
hard_2mm_r2,cube4,320,0.0861851386071172,False
hard_2mm_r2,cube4,426,0.0910206632033911,False
hard_2mm_r2,cube4,640,0.0940155091351198,False
hard_2mm_r2,cube4,854,0.1029777456351545,False
hard_2mm_r2,cube4,1280,0.1142569213140435,False
hard_2mm_r2,cube4,1920,0.1353322141149071,False
hard_3mm_r1,cyl4,8,0.5240269813352789,False
hard_3mm_r1,cyl4,16,0.2740580065876873,False
hard_3mm_r1,cyl4,32,0.1957607394888797,False
hard_3mm_r1,cyl4,48,0.1367816222290826,False
hard_3mm_r1,cyl4,80,0.0686807496762402,False
hard_3mm_r1,cyl4,160,0.061925155030431,False
hard_3mm_r1,cyl4,320,0.0620047831340243,False
hard_3mm_r1,cyl4,426,0.0639887224415905,False
hard_3mm_r1,cyl4,640,0.0726047317991454,False
hard_3mm_r1,cyl4,854,0.0808198883381782,False
hard_3mm_r1,cyl4,1280,0.0980222671579783,False
hard_3mm_r1,cyl4,1920,0.1188175571541619,False
hard_3mm_r1,cube4,8,0.6036786101448287,False
hard_3mm_r1,cube4,16,0.3371306426202505,False
hard_3mm_r1,cube4,32,0.2085277872470765,False
hard_3mm_r1,cube4,48,0.1386242694842565,False
hard_3mm_r1,cube4,80,0.0815910361397016,False
hard_3mm_r1,cube4,160,0.0723464289990811,False
hard_3mm_r1,cube4,320,0.0733546475890545,False
hard_3mm_r1,cube4,426,0.078582162937795,False
hard_3mm_r1,cube4,640,0.0894608082870889,False
hard_3mm_r1,cube4,854,0.0971556841085601,False
hard_3mm_r1,cube4,1280,0.1118614935626833,False
hard_3mm_r1,cube4,1920,0.131412729900355,False
hard_3mm_r2,cyl4,16,0.5139062491840686,False
hard_3mm_r2,cyl4,32,0.332973480253077,False
hard_3mm_r2,cyl4,48,0.181239857884238,False
hard_3mm_r2,cyl4,80,0.1282037314726145,False
hard_3mm_r2,cyl4,160,0.0913877317759624,False
hard_3mm_r2,cyl4,320,0.0983223482837178,False
hard_3mm_r2,cyl4,426,0.0995485102007685,False
hard_3mm_r2,cyl4,640,0.1048741996986897,False
hard_3mm_r2,cyl4,854,0.1077648471911647,False
hard_3mm_r2,cyl4,1280,0.1221870299092496,False
hard_3mm_r2,cyl4,1920,0.1433671586914094,False
hard_3mm_r2,cube4,16,0.4793583748826814,False
hard_3mm_r2,cube4,32,0.3053993677064213,False
hard_3mm_r2,cube4,48,0.1404967979803117,False
hard_3mm_r2,cube4,80,0.1014194430748057,False
hard_3mm_r2,cube4,160,0.0720877367890461,False
hard_3mm_r2,cube4,320,0.0796678842243139,False
hard_3mm_r2,cube4,426,0.0810628171353968,False
hard_3mm_r2,cube4,640,0.0895954095412723,False
hard_3mm_r2,cube4,854,0.0925181866277687,False
hard_3mm_r2,cube4,1280,0.1059872782443396,False
hard_3mm_r2,cube4,1920,0.1271440866057507,False
