thickness_mm,px,delta_intensity,decision_floor
3,42.0,3.2083914,2.5
3,43.0,3.2660165,2.5
3,44.0,3.3419933,2.5
3,45.0,3.4169645,2.5
3,46.0,3.4730065,2.5
3,47.0,3.4945023,2.5
3,48.0,3.4718363,2.5
3,49.0,3.4066973,2.5
3,50.0,3.314664,2.5
3,51.0,3.2219052,2.5
3,52.0,3.1557584,2.5
3,53.0,3.1328695,2.5
3,54.0,3.1509001,2.5
3,55.0,3.1890302,2.5
3,56.0,3.2188733,2.5
3,57.0,3.2202563,2.5
3,58.0,3.1931903,2.5
3,59.0,3.1580906,2.5
3,60.0,3.1454878,2.5
3,61.0,3.1804957,2.5
3,62.0,3.2709029,2.5
3,63.0,3.4021568,2.5
3,64.0,3.5412345,2.5
3,65.0,3.6472483,2.5
3,66.0,3.6860662,2.5
3,67.0,3.6436133,2.5
3,68.0,3.5318882,2.5
3,69.0,3.3852844,2.5
3,70.0,3.2496247,2.5
3,71.0,3.1680572,2.5
3,72.0,3.169062,2.5
3,73.0,3.2581189,2.5
3,74.0,3.415561,2.5
3,75.0,3.602338,2.5
3,76.0,3.7729692,2.5
3,77.0,3.8911393,2.5
3,78.0,3.9401774,2.5
3,79.0,3.9233208,2.5
3,80.0,3.8547773,2.5
3,81.0,3.7475438,2.5
3,82.0,3.6068223,2.5
3,83.0,3.432796,2.5
3,84.0,3.2299342,2.5
3,85.0,3.0144598,2.5
3,86.0,2.8141081,2.5
3,87.0,2.6582322,2.5
3,88.0,2.5649626,2.5
3,89.0,2.5331101,2.5
3,90.0,2.544543,2.5
3,91.0,2.575046,2.5
3,92.0,2.6063702,2.5
3,93.0,2.6322703,2.5
3,94.0,2.6555626,2.5
3,95.0,2.6809342,2.5
3,96.0,2.7098935,2.5
3,97.0,2.7412214,2.5
3,98.0,2.7746615,2.5
3,99.0,2.8128772,2.5
3,100.0,2.8589604,2.5
3,101.0,2.9119158,2.5
3,102.0,2.9645762,2.5
3,103.0,3.0063639,2.5
3,104.0,3.0292282,2.5
3,105.0,3.0319462,2.5
3,106.0,3.020693,2.5
3,107.0,3.0054083,2.5
3,108.0,2.9943476,2.5
3,109.0,2.9900334,2.5
3,110.0,2.988289,2.5
3,111.0,2.98021,2.5
3,112.0,2.955886,2.5
3,113.0,2.9081001,2.5
3,114.0,2.8355482,2.5
3,115.0,2.7440655,2.5
3,116.0,2.645026,2.5
3,117.0,2.5506403,2.5
3,118.0,2.468476,2.5
3,119.0,2.399401,2.5
3,120.0,2.3408055,2.5
3,121.0,2.2932372,2.5
3,122.0,2.2649312,2.5
3,123.0,2.2697823,2.5
3,124.0,2.3189232,2.5
3,125.0,2.4119012,2.5
3,126.0,2.533048,2.5
3,127.0,2.6558127,2.5
3,128.0,2.753336,2.5
3,129.0,2.809807,2.5
3,130.0,2.827399,2.5
3,131.0,2.8246598,2.5
3,132.0,2.826319,2.5
3,133.0,2.8501086,2.5
3,134.0,2.8963208,2.5
3,135.0,2.9464684,2.5
