principle,measure,sensor,probe,width_px,density_px_per_mm2,mae_mm
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cyl4,32,2.1748669236977505,0.2131045292373604
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cyl4,48,4.893450578319937,0.0860973298929946
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cyl4,80,13.59291827311094,0.0577093106060106
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cyl4,160,54.37167309244376,0.0710606842980722
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cyl4,320,217.48669236977503,0.064149900093204
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cyl4,426,385.4356932079813,0.0605270678902525
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cyl4,640,869.9467694791002,0.0638444084718641
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cyl4,854,1548.989497386278,0.0516384695783453
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cyl4,1280,3479.787077916401,0.0526744048881151
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cyl4,1920,7829.520925311901,0.0474107292291973
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cube4,16,0.4700433639337182,0.5559788525131137
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cube4,32,1.880173455734873,0.1008074605847456
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cube4,48,4.230390275403463,0.0962019229208167
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cube4,80,11.751084098342956,0.0883611709512989
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cube4,160,47.00433639337182,0.0779813581810631
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cube4,320,188.0173455734873,0.0719649567123704
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cube4,426,333.20933403607586,0.0711828139517764
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cube4,640,752.0693822939492,0.0676092649411475
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cube4,854,1339.1021328542329,0.0774160728133696
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cube4,1280,3008.2775291757966,0.0910389052979129
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cube4,1920,6768.624440645542,0.1078546111436663
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cyl4,16,0.4700433639337182,0.4759410820939631
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cyl4,32,1.880173455734873,0.1117673601320725
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cyl4,48,4.230390275403463,0.094495671445867
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cyl4,80,11.751084098342956,0.0907165374443835
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cyl4,160,47.00433639337182,0.0859746594969132
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cyl4,320,188.0173455734873,0.0841713451984653
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cyl4,426,333.20933403607586,0.0846920577167915
