t,x,y,z,rx,ry,rz
1788868635.631140,37.957,362.95,35.8104,179.7367,1.6259,-94.814
1788868635.651226,37.9582,362.948,35.8099,179.7365,1.6256,-94.8142
1788868635.671462,37.9596,362.9474,35.8086,179.7366,1.6254,-94.8142
1788868635.691538,37.9573,362.9497,35.8087,179.7363,1.6258,-94.8142
1788868635.711766,37.9575,362.9488,35.8077,179.7364,1.6254,-94.8142
1788868635.731979,37.9564,362.9504,35.81,179.7364,1.626,-94.8142
1788868635.752061,37.9578,362.9503,35.81,179.7364,1.626,-94.8145
1788868635.772139,37.9574,362.9496,35.8104,179.7363,1.6258,-94.8142
1788868635.792342,37.9583,362.9475,35.8086,179.7366,1.6254,-94.8142
1788868635.812708,37.9582,362.948,35.8099,179.7365,1.6256,-94.8142
1788868635.852833,37.9583,362.9475,35.8086,179.7366,1.6254,-94.8142
1788868635.873704,37.9582,362.948,35.8099,179.7365,1.6256,-94.8142
1788868635.893768,37.9583,362.9475,35.8086,179.7366,1.6254,-94.8142
1788868635.914706,37.9577,362.9474,35.8086,179.7364,1.6254,-94.8142
1788868635.934772,37.9561,362.9493,35.809,179.7363,1.6256,-94.814
1788868635.954835,37.9583,362.9475,35.8086,179.7366,1.6254,-94.8145
1788868635.974973,37.9581,362.9485,35.8096,179.7365,1.6258,-94.8145
1788868635.995151,37.9583,362.9475,35.8086,179.7366,1.6254,-94.8142
1788868636.040740,37.9587,362.9482,35.8082,179.7367,1.6257,-94.8142
1788868636.061062,37.9579,362.9497,35.8104,179.7365,1.6258,-94.8142
1788868636.084229,37.9571,362.9542,35.8171,179.7361,1.6273,-94.8143
1788868636.104703,37.9562,362.9512,35.8175,179.7361,1.6271,-94.8143
1788868636.124765,37.9569,362.9521,35.82,179.7359,1.627,-94.8143
1788868636.144892,37.9574,362.9521,35.8235,179.7361,1.6271,-94.8143
1788868636.164973,37.9574,362.9521,35.8235,179.7361,1.6271,-94.8145
1788868636.185199,37.9568,362.9528,35.8278,179.7358,1.6275,-94.8145
1788868636.205431,37.9558,362.9536,35.8307,179.7361,1.6273,-94.8143
1788868636.225580,37.9571,362.9512,35.8289,179.736,1.6268,-94.8143
1788868636.245836,37.9578,362.9503,35.8297,179.7363,1.6265,-94.8143
1788868636.266073,37.9571,362.9511,35.8306,179.736,1.6268,-94.8145
1788868636.286291,37.9571,362.9512,35.8289,179.736,1.6268,-94.8145
