sample_index,t_rel_s,SG0_ai16_V,SG1_ai18_V,SG2_ai17_V,SG3_ai19_V,SG4_ai20_V,SG5_ai21_V
237,0.118500,1.048911159,1.266211483,1.173176695,0.825364724,1.031487686,1.061732206
238,0.119000,1.048911159,1.265225249,1.172847950,0.824707235,1.030830196,1.062060951
239,0.119500,1.049568649,1.266211483,1.173505440,0.826022214,1.032473920,1.062060951
240,0.120000,1.048253670,1.266211483,1.172519206,0.825364724,1.031158941,1.062718441
241,0.120500,1.049568649,1.265225249,1.172847950,0.824378490,1.030172707,1.062718441
242,0.121000,1.050226139,1.264896504,1.170546737,0.825364724,1.030830196,1.063047185
243,0.121500,1.050226139,1.266868973,1.174162930,0.826350958,1.032473920,1.061732206
244,0.122000,1.049568649,1.265882738,1.171204226,0.825035980,1.032145175,1.062389696
245,0.122500,1.049897394,1.266211483,1.171861716,0.826350958,1.031816431,1.061732206
246,0.123000,1.049239904,1.265882738,1.172190461,0.824707235,1.031158941,1.062389696
247,0.123500,1.048911159,1.266211483,1.171204226,0.824378490,1.030172707,1.062718441
248,0.124000,1.048911159,1.266868973,1.171861716,0.824378490,1.031487686,1.062060951
249,0.124500,1.048911159,1.267197718,1.172519206,0.825693469,1.031158941,1.062389696
250,0.125000,1.047924925,1.265553994,1.171532971,0.824707235,1.030172707,1.061403461
251,0.125500,1.048253670,1.266868973,1.172847950,0.825364724,1.032473920,1.061732206
252,0.126000,1.047924925,1.266868973,1.172190461,0.824378490,1.030830196,1.061403461
253,0.126500,1.049568649,1.266540228,1.172847950,0.824378490,1.031816431,1.062060951
254,0.127000,1.048911159,1.265553994,1.172519206,0.824378490,1.030830196,1.062389696
255,0.127500,1.049239904,1.266211483,1.172847950,0.826022214,1.031487686,1.061732206
256,0.128000,1.049568649,1.265225249,1.172190461,0.825035980,1.031158941,1.062389696
257,0.128500,1.051212373,1.266211483,1.172847950,0.825693469,1.030830196,1.062060951
258,0.129000,1.050883628,1.265553994,1.172847950,0.825693469,1.031158941,1.063375930
259,0.129500,1.050554883,1.265882738,1.173505440,0.824378490,1.030830196,1.062718441
260,0.130000,1.048911159,1.266211483,1.171861716,0.825364724,1.031158941,1.061403461
261,0.130500,1.048911159,1.266868973,1.172519206,0.826679703,1.032145175,1.061403461
262,0.131000,1.049568649,1.266868973,1.172190461,0.825693469,1.031816431,1.062060951
263,0.131500,1.049239904,1.266540228,1.170546737,0.824707235,1.030830196,1.062389696
264,0.132000,1.048911159,1.265882738,1.171861716,0.825693469,1.031487686,1.061732206
265,0.132500,1.048582415,1.266868973,1.172190461,0.825035980,1.030830196,1.061074717
266,0.133000,1.048253670,1.266211483,1.172190461,0.824378490,1.031158941,1.061074717
267,0.133500,1.048582415,1.266540228,1.172519206,0.824378490,1.031158941,1.062389696
268,0.134000,1.048911159,1.265882738,1.172190461,0.824707235,1.030830196,1.061732206
269,0.134500,1.049568649,1.265882738,1.172519206,0.826350958,1.032145175,1.062060951
270,0.135000,1.049239904,1.266211483,1.173176695,0.825693469,1.031816431,1.062060951
271,0.135500,1.049568649,1.266211483,1.173505440,0.825035980,1.032145175,1.060745972
272,0.136000,1.048911159,1.265553994,1.172519206,0.825035980,1.031158941,1.062718441
273,0.136500,1.050554883,1.265882738,1.173176695,0.826022214,1.031816431,1.063704675
274,0.137000,1.050883628,1.265882738,1.172519206,0.825693469,1.031158941,1.063704675
275,0.137500,1.049897394,1.266868973,1.172519206,0.824707235,1.031487686,1.062718441
276,0.138000,1.048253670,1.265882738,1.172190461,0.825364724,1.031487686,1.061732206
277,0.138500,1.049897394,1.266868973,1.171532971,0.826350958,1.032145175,1.062060951
278,0.139000,1.049568649,1.265553994,1.170875481,0.824378490,1.030172707,1.062060951
279,0.139500,1.049239904,1.265882738,1.171861716,0.825364724,1.031158941,1.061732206
