sample_index,t_rel_s,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
151,0.075500,3.569099421,9.212937634,103.312217035,-0.027363437,-0.042049191,-0.968656227
152,0.076000,3.558777529,9.168264924,103.276191292,-0.027151222,-0.041082089,-0.967967273
153,0.076500,3.598866822,9.211066833,103.242594170,-0.026988490,-0.041641324,-0.968003596
154,0.077000,3.566905234,9.207931778,103.346345794,-0.026865013,-0.041089947,-0.968599660
155,0.077500,3.599995865,9.189220860,103.313273286,-0.027512815,-0.041039267,-0.968725950
156,0.078000,3.591257688,9.204010543,103.257600885,-0.027231367,-0.041068788,-0.968783931
157,0.078500,3.556543167,9.184139381,103.313905073,-0.026506504,-0.040721351,-0.968853747
158,0.079000,3.572367139,9.224229807,103.245751340,-0.026199933,-0.041426088,-0.968704543
159,0.079500,3.541353345,9.244044966,103.315017466,-0.026086325,-0.041803158,-0.969245610
160,0.080000,3.541578535,9.215477788,103.257967687,-0.026468981,-0.041320830,-0.968931459
161,0.080500,3.596213280,9.217206494,103.200535499,-0.026409781,-0.040879274,-0.968486999
162,0.081000,3.575152065,9.234163546,103.270000327,-0.026848103,-0.041649082,-0.969148118
163,0.081500,3.581654638,9.219893030,103.244711022,-0.026581882,-0.041502574,-0.968470187
164,0.082000,3.591837226,9.224997782,103.253867309,-0.027073582,-0.041683304,-0.967998021
165,0.082500,3.599142012,9.250613989,103.208012849,-0.026699411,-0.042233742,-0.967826301
166,0.083000,3.584025470,9.215355390,103.243465326,-0.027149414,-0.042470826,-0.968379983
167,0.083500,3.590400340,9.210101296,103.220211340,-0.026821008,-0.042311227,-0.968163895
168,0.084000,3.567673549,9.212194345,103.288575862,-0.027008073,-0.041830530,-0.968326585
169,0.084500,3.607962898,9.188084596,103.278256476,-0.027510925,-0.041727100,-0.968543786
170,0.085000,3.600088744,9.181849230,103.265006161,-0.027559227,-0.041264964,-0.967965725
171,0.085500,3.575395130,9.174602716,103.280094410,-0.027457681,-0.040566769,-0.968750807
172,0.086000,3.624050643,9.165851682,103.277742058,-0.027838555,-0.040928395,-0.968278963
173,0.086500,3.588708703,9.194161762,103.290411517,-0.026585896,-0.041049353,-0.968641400
174,0.087000,3.582032399,9.212079284,103.288421897,-0.026637917,-0.041927746,-0.968326078
175,0.087500,3.560375358,9.205771472,103.324260094,-0.027244428,-0.041468838,-0.968747102
176,0.088000,3.595022687,9.189476928,103.292226206,-0.026257861,-0.041090992,-0.969102866
177,0.088500,3.595530590,9.182381293,103.199451909,-0.026480405,-0.041220859,-0.968379312
178,0.089000,3.597299130,9.218222247,103.232301742,-0.026579791,-0.041201049,-0.968119107
179,0.089500,3.551067150,9.212870761,103.267755180,-0.026837856,-0.041813481,-0.968699766
180,0.090000,3.589464888,9.228679069,103.240532118,-0.026325931,-0.042491274,-0.967692515
181,0.090500,3.607618850,9.261735052,103.219653852,-0.026793561,-0.041762473,-0.967798746
182,0.091000,3.598828236,9.221749432,103.196933962,-0.026908233,-0.041844041,-0.967821268
183,0.091500,3.575653766,9.203297621,103.391276367,-0.027073129,-0.041259059,-0.968674423
184,0.092000,3.605367806,9.206994030,103.266550096,-0.026656231,-0.041890604,-0.968451034
185,0.092500,3.599189894,9.181445508,103.255381154,-0.027384992,-0.041150830,-0.968319589
186,0.093000,3.600151801,9.182439876,103.288611117,-0.027557301,-0.041469403,-0.968297487
187,0.093500,3.601255446,9.186589605,103.372318454,-0.027897025,-0.040629158,-0.969351312
188,0.094000,3.599206841,9.187720804,103.313497985,-0.027345132,-0.040719813,-0.968717334
