sensor,axis,density_px_per_mm2,median,min,max,suspect_hardware
soft_3mm_r1,Tz,0.5957153632048351,0.0001792300317902,0.0001699440472293,0.0001805792708182,False
soft_3mm_r1,Tz,2.3828614528193404,0.0001723890163702,0.0001719156571198,0.0001769693772075,False
soft_3mm_r1,Tz,5.361438268843514,0.0001722425513435,0.0001709275093162,0.0001730706571834,False
soft_3mm_r1,Tz,14.892884080120874,0.0001939723006216,0.0001827529631555,0.0002017684746533,False
soft_3mm_r1,Tz,59.571536320483496,0.000181581286597,0.0001781033206498,0.0001820323668653,False
soft_3mm_r1,Tz,238.28614528193398,0.0001767533103702,0.0001756270503392,0.0001851681590778,False
soft_3mm_r1,Tz,422.2970361443775,0.0001656687963986,0.0001625967706786,0.0001883254153653,False
soft_3mm_r1,Tz,953.1445811277359,0.0001662274444242,0.0001619009999558,0.0001681442226981,False
soft_3mm_r1,Tz,1697.1279134027243,0.0001548569707665,0.0001532272581243,0.0001648896140977,False
soft_3mm_r1,Tz,3812.5783245109437,0.0001547650608699,0.000138025425258,0.0001676718820817,False
soft_3mm_r1,Tz,8578.301230149624,0.0001707683986751,0.0001679077686276,0.0001843800273491,False
medium_1mm_r1,Tx,0.21059322079920634,0.0006206191610544,0.0006056744605302,0.000707774888724,False
medium_1mm_r1,Tx,0.8423728831968254,0.0006120410980656,0.0005647101206704,0.0006435285904444,False
medium_1mm_r1,Tx,3.3694915327873014,0.0005414343322627,0.0005356998881325,0.0006036836421117,False
medium_1mm_r1,Tx,7.581355948771427,0.0003856777329929,0.0003469377406872,0.0004119721706956,False
medium_1mm_r1,Tx,21.05932207992063,0.0005967284087091,0.00039916660171,0.0008627626812085,False
medium_1mm_r1,Tx,84.23728831968252,0.0006331357290036,0.0005385538679547,0.0007091284496709,False
medium_1mm_r1,Tx,336.9491532787301,0.0005403126706369,0.0004181771946605,0.0012504706392064,False
medium_1mm_r1,Tx,597.1502396524494,0.0008030745666474,0.0006350368494167,0.0009018081473186,False
medium_1mm_r1,Tx,1347.7966131149203,0.0004610521718859,0.0004592928744386,0.0008487055893056,False
medium_1mm_r1,Tx,2399.8282096936555,0.000768746016547,0.0005047608865424,0.0009898184798657,False
medium_1mm_r1,Tx,5391.186452459681,0.0004953111056238,0.0004812558181583,0.0004992668982595,False
medium_1mm_r1,Tx,12130.169518034287,0.0005910481559112,0.0004800890164915,0.0006003441521897,False
medium_1mm_r1,Ty,0.21059322079920634,0.0008049087482504,0.0007602396653965,0.0008678951417095,False
medium_1mm_r1,Ty,0.8423728831968254,0.0006267876597121,0.0005044033750891,0.0008994062663987,False
medium_1mm_r1,Ty,3.3694915327873014,0.0004386740911286,0.0003378431138116,0.0004652462375815,False
medium_1mm_r1,Ty,7.581355948771427,0.0003987264062743,0.0003632020961958,0.0006210558931343,False
medium_1mm_r1,Ty,21.05932207992063,0.0005442879046313,0.0004417477175593,0.0009041422745212,False
medium_1mm_r1,Ty,84.23728831968252,0.0006334548816084,0.0004740969161503,0.0007502856315113,False
medium_1mm_r1,Ty,336.9491532787301,0.000807742588222,0.00045674314606,0.0008231691899709,False
medium_1mm_r1,Ty,597.1502396524494,0.0004999536322429,0.0004905512323603,0.0005930372281,False
medium_1mm_r1,Ty,1347.7966131149203,0.0006351622287184,0.0005187518545426,0.0006893867393955,False
medium_1mm_r1,Ty,2399.8282096936555,0.0004996622446924,0.0004766731581185,0.0005139913409948,False
medium_1mm_r1,Ty,5391.186452459681,0.000651096983347,0.0004928212729282,0.0008202772005461,False
medium_1mm_r1,Ty,12130.169518034287,0.0005162194720469,0.0004804295313078,0.0007419067551381,False
