sensor,probe,density_px_per_mm2,mae_mm
medium_1mm_r1,cube4,0.21059322079920634,1.646879295887361
medium_1mm_r1,cube4,0.8423728831968254,1.9297561804934462
medium_1mm_r1,cube4,3.3694915327873014,1.1283614729185016
medium_1mm_r1,cube4,7.581355948771427,1.2758392394382412
medium_1mm_r1,cube4,21.05932207992063,1.228350155324157
medium_1mm_r1,cube4,84.23728831968252,1.0817429360598059
medium_1mm_r1,cube4,336.9491532787301,1.1155103542345488
medium_1mm_r1,cube4,597.1502396524494,1.1426540526273525
medium_1mm_r1,cube4,1347.7966131149203,1.256648526553187
medium_1mm_r1,cube4,2399.8282096936555,1.266992000990852
medium_1mm_r1,cube4,5391.186452459681,1.154121313958309
medium_1mm_r1,cube4,12130.169518034287,1.2075523235125916
medium_2mm_r1,cube4,0.17367109773304965,1.270038191947565
medium_2mm_r1,cube4,0.6946843909321986,0.4667854355716914
medium_2mm_r1,cube4,2.7787375637287943,0.006266183986177509
medium_2mm_r1,cube4,6.252159518389789,0.10138300020497848
medium_2mm_r1,cube4,17.367109773304964,0.161635441088384
medium_2mm_r1,cube4,69.46843909321986,0.1704267558109187
medium_2mm_r1,cube4,277.8737563728794,0.19715002427723682
medium_2mm_r1,cube4,492.45525206567055,0.21392119838904655
medium_2mm_r1,cube4,1111.4950254915177,0.33452086894245703
medium_2mm_r1,cube4,1979.0798486605756,0.3369879687849293
medium_2mm_r1,cube4,4445.980101966071,0.20071279933384822
medium_2mm_r1,cube4,10003.45522942366,0.26250338421863617
medium_3mm_r1,cube4,0.1366479789414849,1.9132952936990186
medium_3mm_r1,cube4,0.5465919157659396,0.481537274737013
medium_3mm_r1,cube4,2.1863676630637583,1.0102499799049482
medium_3mm_r1,cube4,4.919327241893458,0.9730302913902236
medium_3mm_r1,cube4,13.66479789414849,0.9254430589945981
medium_3mm_r1,cube4,54.65919157659396,0.9268499245140402
medium_3mm_r1,cube4,218.63676630637585,0.9118012854747173
medium_3mm_r1,cube4,387.47388478726435,0.9136418670386979
medium_3mm_r1,cube4,874.5470652255034,0.9232085958749785
medium_3mm_r1,cube4,1557.1805845263752,0.9184636884418635
medium_3mm_r1,cube4,3498.1882609020136,0.9000079549583413
medium_3mm_r1,cube4,7870.9235870295315,0.8855878981411918
soft_1mm_r2,cube4,0.20803524288340983,0.31957815734366424
soft_1mm_r2,cube4,0.8321409715336393,-1.4737514078236016
soft_1mm_r2,cube4,3.3285638861345572,-0.5761946441713919
soft_1mm_r2,cube4,7.4892687438027545,-0.3203160935549363
soft_1mm_r2,cube4,20.803524288340984,0.0365906116848711
soft_1mm_r2,cube4,83.21409715336394,0.26934460990333253
soft_1mm_r2,cube4,332.85638861345575,0.8665740152340451
soft_1mm_r2,cube4,589.8969333985889,1.076051812640002
soft_1mm_r2,cube4,1331.425554453823,1.1751017331141203
soft_1mm_r2,cube4,2370.678612480577,1.272768623906062
soft_1mm_r2,cube4,5325.702217815292,1.4503751327886807
soft_1mm_r2,cube4,11982.829990084407,1.3217947062626925
soft_2mm_r1,cube4,0.1832714063117097,1.268083586848821
soft_2mm_r1,cube4,0.7330856252468388,-0.22492815012177658
soft_2mm_r1,cube4,2.9323425009873554,-0.4954516405083016
soft_2mm_r1,cube4,6.597770627221551,-0.28690507761505923
soft_2mm_r1,cube4,18.327140631170973,-0.32310102777360283
soft_2mm_r1,cube4,73.3085625246839,-0.1997066924329962
soft_2mm_r1,cube4,293.2342500987356,-0.17094174628254422
soft_2mm_r1,cube4,519.6775270597474,-0.16444229170027214
soft_2mm_r1,cube4,1172.9370003949423,-0.07818477379848199
soft_2mm_r1,cube4,2088.480765087983,-0.08467671467659121
soft_2mm_r1,cube4,4691.748001579769,-0.16385809254066075
soft_2mm_r1,cube4,10556.43300355448,-0.11858619844692075
soft_3mm_r1,cube4,0.14892884080120877,1.0468386676664405
soft_3mm_r1,cube4,0.5957153632048351,-0.0002995527290710065
soft_3mm_r1,cube4,2.3828614528193404,0.33658508585242686
soft_3mm_r1,cube4,5.361438268843514,0.4542287428313143
soft_3mm_r1,cube4,14.892884080120874,0.4258516009512734
soft_3mm_r1,cube4,59.571536320483496,0.4586220892646091
soft_3mm_r1,cube4,238.28614528193398,0.47608312046310086
soft_3mm_r1,cube4,422.2970361443775,0.4780381875222437
soft_3mm_r1,cube4,953.1445811277359,0.5151546059058107
soft_3mm_r1,cube4,1697.1279134027243,0.5075775430645795
soft_3mm_r1,cube4,3812.5783245109437,0.47608071645541106
soft_3mm_r1,cube4,8578.301230149624,0.3802757972309472
