sensor,probe,density_px_per_mm2,mae_mm
soft_2mm_r1,cyl4,519.6775270597474,0.08699719726024037
soft_2mm_r1,cyl4,1172.9370003949423,0.08480706370351676
soft_2mm_r1,cyl4,2088.480765087983,0.08482385793306396
soft_2mm_r1,cyl4,4691.748001579769,0.087314126332382
soft_2mm_r1,cyl4,10556.43300355448,0.08653902691084113
soft_3mm_r1,cyl4,0.14892884080120877,0.13140053251044606
soft_3mm_r1,cyl4,0.5957153632048351,0.10749328923629375
soft_3mm_r1,cyl4,2.3828614528193404,0.10411390378357624
soft_3mm_r1,cyl4,5.361438268843514,0.12006864263893816
soft_3mm_r1,cyl4,14.892884080120874,0.12072221203924867
soft_3mm_r1,cyl4,59.571536320483496,0.12457782640339585
soft_3mm_r1,cyl4,238.28614528193398,0.12440799637915348
soft_3mm_r1,cyl4,422.2970361443775,0.12410425110937806
soft_3mm_r1,cyl4,953.1445811277359,0.11434889971496313
soft_3mm_r1,cyl4,1697.1279134027243,0.11448983564259266
soft_3mm_r1,cyl4,3812.5783245109437,0.1254119338023827
soft_3mm_r1,cyl4,8578.301230149624,0.12263593687893604
hard_1mm_r2,cube4,0.22987796811764577,0.09868255919575984
hard_1mm_r2,cube4,0.9195118724705831,0.09282353752251334
hard_1mm_r2,cube4,3.6780474898823323,0.10017177055814588
hard_1mm_r2,cube4,8.275606852235248,0.1003287063947335
hard_1mm_r2,cube4,22.98779681176457,0.10326277483612453
hard_1mm_r2,cube4,91.95118724705829,0.10353550546761221
hard_1mm_r2,cube4,367.80474898823314,0.10503807576464909
hard_1mm_r2,cube4,651.833345970592,0.10570372660070808
hard_1mm_r2,cube4,1471.2189959529326,0.10971197292034265
hard_1mm_r2,cube4,2619.5887530576397,0.10998194790137818
hard_1mm_r2,cube4,5884.87598381173,0.10613629985958492
hard_1mm_r2,cube4,13240.970963576396,0.10779799752827356
hard_2mm_r2,cube4,0.18730501242301487,0.07327171753036323
hard_2mm_r2,cube4,0.7492200496920595,0.044059995681666755
hard_2mm_r2,cube4,2.996880198768238,0.03207536589229945
hard_2mm_r2,cube4,6.742980447228534,0.03149239987010598
hard_2mm_r2,cube4,18.730501242301486,0.03186478314796928
hard_2mm_r2,cube4,74.92200496920594,0.03181677346924783
hard_2mm_r2,cube4,299.6880198768238,0.031665898746498826
hard_2mm_r2,cube4,531.1150692887351,0.03165413521105888
hard_2mm_r2,cube4,1198.752079507295,0.027948941922434578
hard_2mm_r2,cube4,2134.4459756297424,0.027894541508206125
hard_2mm_r2,cube4,4795.00831802918,0.03149794449905398
hard_2mm_r2,cube4,10788.768715565659,0.030151398739465526
hard_3mm_r1,cube4,0.13254042623671855,0.15839606399587916
hard_3mm_r1,cube4,0.5301617049468742,0.13841148326423894
