sensor,width_px,mae,thickness_mm,hardness,density_px_per_mm2,principle,probe
soft_3mm_r1,320,0.0537680594610178,3,soft,178.95899841487477,9DTact,cube4
soft_3mm_r1,160,0.0597311639797488,3,soft,44.73974960371869,9DTact,cube4
soft_3mm_r1,80,0.0581320160393532,3,soft,11.184937400929673,9DTact,cube4
soft_3mm_r1,48,0.0634214306170411,3,soft,4.026577464334683,9DTact,cube4
soft_3mm_r1,32,0.1063860176171614,3,soft,1.7895899841487481,9DTact,cube4
soft_3mm_r1,16,0.1510987161026833,3,soft,0.44739749603718704,9DTact,cube4
hard_1mm_r1,8,0.06427446252083228,1,hard,0.21444712842969466,DIGIT,cyl4
hard_1mm_r1,16,0.024559096446674283,1,hard,0.8577885137187786,DIGIT,cyl4
hard_1mm_r1,32,0.0314136335011895,1,hard,3.4311540548751145,DIGIT,cyl4
hard_1mm_r1,48,0.036915074786203685,1,hard,7.720096623469007,DIGIT,cyl4
hard_1mm_r1,80,0.0391747140642579,1,hard,21.44471284296947,DIGIT,cyl4
hard_1mm_r1,160,0.04003766191567735,1,hard,85.77885137187788,DIGIT,cyl4
hard_1mm_r1,320,0.04017938164438562,1,hard,343.1154054875115,DIGIT,cyl4
hard_1mm_r1,426,0.040183067074077906,1,hard,608.0782356079261,DIGIT,cyl4
hard_1mm_r1,640,0.039490842571514403,1,hard,1372.461621950046,DIGIT,cyl4
hard_1mm_r1,854,0.03942050313021496,1,hard,2443.745654966113,DIGIT,cyl4
hard_1mm_r1,1280,0.040281358858602824,1,hard,5489.846487800184,DIGIT,cyl4
hard_1mm_r1,1920,0.04027858687009174,1,hard,12352.154597550414,DIGIT,cyl4
hard_2mm_r1,8,0.08783176752821262,2,hard,0.177486930809379,DIGIT,cyl4
hard_2mm_r1,16,0.039209947847655954,2,hard,0.709947723237516,DIGIT,cyl4
hard_2mm_r1,32,0.033853671067289065,2,hard,2.839790892950064,DIGIT,cyl4
hard_2mm_r1,48,0.03596663113766072,2,hard,6.389529509137643,DIGIT,cyl4
