unit,width_px,x_mm,depth_mm,true_mm
medium_3mm_r2,320,11.737720657216794,0.0029955206,0.4827593278419329
medium_3mm_r2,320,11.805178821913444,0.0029442972,0.4827593278419329
medium_3mm_r2,320,11.872636986610091,0.0028932106,0.4827593278419329
medium_3mm_r2,320,11.940095151306739,0.0028422521,0.4827593278419329
medium_3mm_r2,320,12.007553316003388,0.002791413,0.4827593278419329
medium_3mm_r2,320,12.075011480700036,0.0027406856,0.4827593278419329
medium_3mm_r2,320,12.142469645396684,0.002690062,0.4827593278419329
medium_3mm_r2,320,12.209927810093333,0.0026395358,0.4827593278419329
medium_3mm_r2,320,12.277385974789981,0.0025890998,0.4827593278419329
medium_3mm_r2,320,12.344844139486629,0.0025387488,0.4827593278419329
medium_3mm_r2,320,12.412302304183278,0.0024884774,0.4827593278419329
medium_3mm_r2,320,12.479760468879926,0.0024382803,0.4827593278419329
medium_3mm_r2,320,12.547218633576573,0.0023881532,0.4827593278419329
medium_3mm_r2,320,12.614676798273223,0.0023380923,0.4827593278419329
medium_3mm_r2,320,12.68213496296987,0.0022880938,0.4827593278419329
medium_3mm_r2,320,12.749593127666518,0.0022381546,0.4827593278419329
medium_3mm_r2,320,12.817051292363168,0.0021882725,0.4827593278419329
medium_3mm_r2,320,12.884509457059815,0.002138445,0.4827593278419329
medium_3mm_r2,320,12.951967621756463,0.0020886704,0.4827593278419329
medium_3mm_r2,320,13.019425786453112,0.0020389473,0.4827593278419329
medium_3mm_r2,320,13.08688395114976,0.001989275,0.4827593278419329
medium_3mm_r2,80,-8.43227058708103,0.004102156,0.4827593278419329
medium_3mm_r2,80,-8.162437928294437,0.0039000632,0.4827593278419329
medium_3mm_r2,80,-7.892605269507845,0.003696958,0.4827593278419329
medium_3mm_r2,80,-7.622772610721252,0.0034931432,0.4827593278419329
medium_3mm_r2,80,-7.352939951934659,0.0032890998,0.4827593278419329
medium_3mm_r2,80,-7.083107293148066,0.003085529,0.4827593278419329
medium_3mm_r2,80,-6.8132746343614725,0.0028834145,0.4827593278419329
medium_3mm_r2,80,-6.54344197557488,0.0026841045,0.4827593278419329
medium_3mm_r2,80,-6.273609316788287,0.0024894297,0.4827593278419329
medium_3mm_r2,80,-6.003776658001694,0.0023018678,0.4827593278419329
medium_3mm_r2,80,-5.733943999215101,0.0021247722,0.4827593278419329
medium_3mm_r2,80,-5.4641113404285075,0.0019626978,0.4827593278419329
medium_3mm_r2,80,-5.194278681641915,0.0018218594,0.4827593278419329
medium_3mm_r2,80,-4.924446022855322,0.0017107865,0.4827593278419329
medium_3mm_r2,80,-4.654613364068729,0.001641276,0.4827593278419329
medium_3mm_r2,80,-4.384780705282136,0.0016297875,0.4827593278419329
medium_3mm_r2,80,-4.1149480464955435,0.0016995271,0.4827593278419329
medium_3mm_r2,80,-3.84511538770895,0.0018836086,0.4827593278419329
medium_3mm_r2,80,-3.575282728922357,0.0022300303,0.4827593278419329
medium_3mm_r2,80,-3.305450070135764,0.0028098112,0.4827593278419329
medium_3mm_r2,80,-3.035617411349171,0.00373145,0.4827593278419329
medium_3mm_r2,80,-2.765784752562578,0.005170136,0.4827593278419329
medium_3mm_r2,80,-2.495952093775985,0.007438824,0.4827593278419329
medium_3mm_r2,80,-2.2261194349893922,0.0112006925,0.4827593278419329
medium_3mm_r2,80,-1.9562867762027991,0.018224714,0.4827593278419329
medium_3mm_r2,80,-1.6864541174162062,0.03352103,0.4827593278419329
medium_3mm_r2,80,-1.416621458629613,0.05446592,0.4827593278419329
medium_3mm_r2,80,-1.1467887998430202,0.105603635,0.4827593278419329
medium_3mm_r2,80,-0.8769561410564272,0.18609391,0.4827593278419329
medium_3mm_r2,80,-0.6071234822698343,0.28373125,0.4827593278419329
medium_3mm_r2,80,-0.33729082348324124,0.3852849,0.4827593278419329
medium_3mm_r2,80,-0.06745816469664824,0.43305603,0.4827593278419329
medium_3mm_r2,80,0.20237449408994473,0.4121641,0.4827593278419329
medium_3mm_r2,80,0.47220715287653775,0.39289522,0.4827593278419329
medium_3mm_r2,80,0.7420398116631307,0.37296012,0.4827593278419329
medium_3mm_r2,80,1.0118724704497237,0.3543622,0.4827593278419329
medium_3mm_r2,80,1.2817051292363166,0.33787903,0.4827593278419329
