sensor,width_px,size_mm,shape
medium_2mm_r2,80,5.721865496299533,cube4
medium_2mm_r2,48,5.831162935523569,cube4
medium_2mm_r2,32,6.220306154943415,cube4
medium_2mm_r2,16,5.937564966082351,cube4
medium_3mm_r1,1920,4.815602659061931,cube4
medium_3mm_r1,1280,4.914490252131821,cube4
medium_3mm_r1,854,5.038330903965058,cube4
medium_3mm_r1,640,5.333381015984077,cube4
medium_3mm_r1,426,5.282927260521357,cube4
medium_3mm_r1,320,5.224755288389528,cube4
medium_3mm_r1,160,5.49276822767105,cube4
medium_3mm_r1,80,5.248569828819172,cube4
medium_3mm_r1,48,5.1174568707501,cube4
medium_3mm_r1,32,4.447328670953742,cube4
medium_3mm_r2,1920,5.169819758899599,cube4
medium_3mm_r2,1280,5.204224542866879,cube4
medium_3mm_r2,854,5.298983311925298,cube4
medium_3mm_r2,640,5.517108921486244,cube4
medium_3mm_r2,426,5.44124904434073,cube4
medium_3mm_r2,320,5.3602517685630735,cube4
medium_3mm_r2,160,5.209047286502513,cube4
medium_3mm_r2,80,5.040088997383384,cube4
medium_3mm_r2,48,5.303696448890006,cube4
medium_3mm_r2,32,5.689276632520122,cube4
medium_3mm_r2,16,5.255989994556713,cube4
soft_1mm_r1,1920,4.026418945794017,cube4
soft_1mm_r1,1280,4.043401689423072,cube4
soft_1mm_r1,854,4.063253147443882,cube4
soft_1mm_r1,640,4.239488343650711,cube4
soft_1mm_r1,426,4.176253155274751,cube4
soft_1mm_r1,320,4.134791291638961,cube4
soft_1mm_r1,160,4.06270947799142,cube4
soft_1mm_r1,80,3.888510097424106,cube4
soft_1mm_r1,48,3.71110798328361,cube4
soft_1mm_r1,32,2.896444081229299,cube4
soft_1mm_r1,16,2.981840135946657,cube4
soft_1mm_r2,1920,4.200233923428035,cube4
soft_1mm_r2,1280,4.19859156825114,cube4
soft_1mm_r2,854,4.18514003027395,cube4
soft_1mm_r2,640,4.312377845137082,cube4
soft_1mm_r2,426,4.260457734128743,cube4
soft_1mm_r2,320,4.240453922610806,cube4
soft_1mm_r2,160,4.116127089390728,cube4
soft_1mm_r2,80,4.029414889211904,cube4
soft_1mm_r2,48,4.018287334180786,cube4
soft_1mm_r2,32,3.654884368287208,cube4
soft_1mm_r2,8,3.459729037138481,cube4
soft_2mm_r1,1920,3.958532035479159,cube4
soft_2mm_r1,1280,3.9604188477799855,cube4
soft_2mm_r1,854,3.998856378759973,cube4
soft_2mm_r1,640,4.128203228245823,cube4
soft_2mm_r1,426,4.142659299965383,cube4
soft_2mm_r1,320,4.087615779170742,cube4
soft_2mm_r1,160,3.97899447368484,cube4
soft_2mm_r1,80,3.7823439849337537,cube4
soft_2mm_r1,48,3.747120663525602,cube4
soft_2mm_r1,32,3.566128782911649,cube4
soft_2mm_r1,16,5.399743709472284,cube4
soft_2mm_r2,1920,5.191575310250705,cube4
soft_2mm_r2,1280,5.24708581009652,cube4
soft_2mm_r2,854,5.279842335443878,cube4
soft_2mm_r2,640,5.434742974489844,cube4
soft_2mm_r2,426,5.32077077450992,cube4
soft_2mm_r2,320,5.234485506148126,cube4
soft_2mm_r2,160,5.111451309507101,cube4
soft_2mm_r2,80,5.127607862918231,cube4
soft_2mm_r2,48,4.964659412261415,cube4
soft_2mm_r2,32,5.466392995466556,cube4
soft_2mm_r2,16,5.49806603730969,cube4
soft_3mm_r1,1920,4.886078004972678,cube4
soft_3mm_r1,1280,4.900912536079319,cube4
soft_3mm_r1,854,4.910698377533987,cube4
soft_3mm_r1,640,5.201177261617321,cube4
soft_3mm_r1,426,4.95501877673204,cube4
soft_3mm_r1,320,5.079808304565281,cube4
soft_3mm_r1,160,4.927189689760782,cube4
soft_3mm_r1,80,4.658820420362479,cube4
soft_3mm_r1,48,4.598059004127362,cube4
soft_3mm_r1,32,4.817479271197441,cube4
soft_3mm_r1,16,4.916402907339481,cube4
soft_3mm_r2,1920,5.652557060783622,cube4
soft_3mm_r2,1280,5.698221363173648,cube4
soft_3mm_r2,854,5.745716869636644,cube4
soft_3mm_r2,640,5.931999846348327,cube4
soft_3mm_r2,426,5.885813571273911,cube4
soft_3mm_r2,320,5.785057578831203,cube4
soft_3mm_r2,160,5.668470183543454,cube4
soft_3mm_r2,80,5.465077313001841,cube4
soft_3mm_r2,48,4.982470756224779,cube4
soft_3mm_r2,32,6.552688272254685,cube4
soft_3mm_r2,16,5.2979181775676185,cube4
