sensor,hardness,thickness_mm,width_px,density_px_per_mm2,res,principle
medium_2mm_r1,medium,2,854,2589.922719313611,0.1011047884821891,DIGIT_Marker
medium_2mm_r1,medium,2,1280,5818.2315804444415,0.0994472354650497,DIGIT_Marker
medium_2mm_r1,medium,2,1920,13091.021056,0.0962924063205719,DIGIT_Marker
medium_3mm_r1,medium,3,8,0.17644200249999997,0.1934579759836197,DIGIT_Marker
medium_3mm_r1,medium,3,16,0.7057680099999999,0.1264815181493759,DIGIT_Marker
medium_3mm_r1,medium,3,32,2.8230720399999996,0.1023299843072891,DIGIT_Marker
medium_3mm_r1,medium,3,48,6.351912089999999,0.0881505832076072,DIGIT_Marker
medium_3mm_r1,medium,3,80,17.64420025,0.0856732130050659,DIGIT_Marker
medium_3mm_r1,medium,3,160,70.576801,0.0977430343627929,DIGIT_Marker
medium_3mm_r1,medium,3,320,282.307204,0.0899671092629432,DIGIT_Marker
medium_3mm_r1,medium,3,426,500.31232571390615,0.0876724272966384,DIGIT_Marker
medium_3mm_r1,medium,3,640,1129.228816,0.0901069045066833,DIGIT_Marker
medium_3mm_r1,medium,3,854,2010.6558671139067,0.0802329555153846,DIGIT_Marker
medium_3mm_r1,medium,3,1280,4516.915264,0.0815002769231796,DIGIT_Marker
medium_3mm_r1,medium,3,1920,10163.059344,0.083042100071907,DIGIT_Marker
soft_1mm_r1,soft,1,8,0.27041733361111114,0.2386852651834488,DIGIT_Marker
soft_1mm_r1,soft,1,16,1.0816693344444446,0.2276790291070938,DIGIT_Marker
soft_1mm_r1,soft,1,32,4.326677337777778,0.1739339530467987,DIGIT_Marker
soft_1mm_r1,soft,1,48,9.735024010000002,0.1441685259342193,DIGIT_Marker
soft_1mm_r1,soft,1,80,27.041733361111106,0.1518342643976211,DIGIT_Marker
soft_1mm_r1,soft,1,160,108.16693344444442,0.1550016552209854,DIGIT_Marker
soft_1mm_r1,soft,1,320,432.6677337777777,0.151842787861824,DIGIT_Marker
soft_1mm_r1,soft,1,426,766.7852505376562,0.15227971971035,DIGIT_Marker
soft_1mm_r1,soft,1,640,1730.6709351111108,0.152892604470253,DIGIT_Marker
soft_1mm_r1,soft,1,854,3081.557626248767,0.1486423164606094,DIGIT_Marker
soft_1mm_r1,soft,1,1280,6922.683740444443,0.1594613939523697,DIGIT_Marker
soft_1mm_r1,soft,1,1920,15576.038416000001,0.1396591812372207,DIGIT_Marker
soft_2mm_r1,soft,2,8,0.22572001000000003,0.2571456432342529,DIGIT_Marker
soft_2mm_r1,soft,2,16,0.9028800400000001,0.2349022924900055,DIGIT_Marker
soft_2mm_r1,soft,2,32,3.6115201600000004,0.2020500153303146,DIGIT_Marker
soft_2mm_r1,soft,2,48,8.12592036,0.1570792347192764,DIGIT_Marker
soft_2mm_r1,soft,2,80,22.572001000000004,0.1419461369514465,DIGIT_Marker
soft_2mm_r1,soft,2,160,90.28800400000002,0.15521140396595,DIGIT_Marker
soft_2mm_r1,soft,2,320,361.15201600000006,0.1716840118169784,DIGIT_Marker
soft_2mm_r1,soft,2,426,640.0431958556251,0.1632627844810485,DIGIT_Marker
soft_2mm_r1,soft,2,640,1444.6080640000002,0.1681715548038482,DIGIT_Marker
soft_2mm_r1,soft,2,854,2572.2064814556247,0.1798263639211654,DIGIT_Marker
soft_2mm_r1,soft,2,1280,5778.432256000001,0.1680990159511566,DIGIT_Marker
soft_2mm_r1,soft,2,1920,13001.472576000004,0.1665824651718139,DIGIT_Marker
soft_3mm_r1,soft,3,8,0.17921111111111107,0.4030288755893707,DIGIT_Marker
soft_3mm_r1,soft,3,16,0.7168444444444443,0.262429803609848,DIGIT_Marker
soft_3mm_r1,soft,3,32,2.867377777777777,0.1913746297359466,DIGIT_Marker
soft_3mm_r1,soft,3,48,6.451599999999998,0.2013761550188064,DIGIT_Marker
soft_3mm_r1,soft,3,80,17.921111111111113,0.1960910558700561,DIGIT_Marker
soft_3mm_r1,soft,3,160,71.68444444444445,0.1191743537783622,DIGIT_Marker
soft_3mm_r1,soft,3,320,286.7377777777778,0.126675546169281,DIGIT_Marker
soft_3mm_r1,soft,3,426,508.16430625000004,0.1350220143795013,DIGIT_Marker
