sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
hard_1mm_r1,16,9,random,0,0.037491101771593094,0.08375808596611023,0.27715277671813965,0.9557379484176636,0.028034541755914688,0.11736390739679337,0.9413339495658875,719,214,67,1.968150019645691,0.0006854443927295506,0.0006125661311671138,8.177526615327224e-05,30,30,30,0.30631136463149367,0.2515394576242037,64,64,1,2.2
hard_1mm_r1,8,5,cycle,0,0.13230355083942413,0.1769532412290573,0.4162634313106537,0.8745059967041016,0.04479854553937912,0.0807502269744873,0.5589231252670288,719,214,67,1.9910300970077515,0.0009697818895801902,0.0012551969848573208,0.00016991929442156106,30,30,25,0.3672478905307733,0.3392337638641072,64,64,1,4.0
hard_1mm_r1,8,5,random,0,0.05664248764514923,0.07168620824813843,0.27715277671813965,0.9675772786140442,0.0347764752805233,0.11736390739679337,0.8992243409156799,719,214,67,1.968150019645691,0.0007176162907853723,0.0006401860155165195,7.768265641061589e-05,30,30,23,0.3197226676887862,0.28491125374196846,64,64,1,2.3
hard_1mm_r2,1920,1080,cycle,0,0.033478327095508575,0.042535193264484406,0.29682403802871704,0.9897196888923645,0.022309981286525726,0.11267499625682831,0.9493577480316162,761,155,84,1.8539299964904785,0.000723932113032788,0.00042727930122055113,0.0001659045519772917,30,30,27,0.1579305674494018,0.1941566607644481,64,4,16,350.9
hard_1mm_r2,1920,1080,random,0,0.026269713416695595,0.03657297044992447,0.273644357919693,0.9920869469642639,0.01999308541417122,0.13252653181552887,0.9698920249938965,761,155,84,2.017240047454834,0.0005573485977947712,0.00045628839870914817,0.00013888829562347382,30,30,29,0.14241993615254467,0.20657199525064038,64,4,16,345.6
hard_1mm_r2,1280,720,cycle,0,0.037151772528886795,0.0429098978638649,0.29682403802871704,0.98953777551651,0.02746514417231083,0.11267499625682831,0.9096328020095825,761,155,84,1.8539299964904785,0.0006139596225693822,0.000552722136490047,0.00018035554967354983,30,30,30,0.14610695846760632,0.202643201428075,64,11,6,151.7
hard_1mm_r2,1280,720,random,0,0.03723640367388725,0.04586029052734375,0.273644357919693,0.9875578284263611,0.023876748979091644,0.13252653181552887,0.9617171287536621,761,155,84,2.017240047454834,0.0003913680848199874,0.0006638277554884553,0.0001337059075012803,30,30,22,0.221262462897307,0.20308258302750126,64,11,6,152.3
hard_1mm_r2,854,480,cycle,0,0.03194011375308037,0.042085178196430206,0.29682403802871704,0.989936113357544,0.0157184861600399,0.11267499625682831,0.9650459289550781,761,155,84,1.8539299964904785,0.0006103789201006293,0.0006584523944184184,0.00020041081006638706,30,30,29,0.1512059278776392,0.21727736842247747,64,24,3,71.0
hard_1mm_r2,854,480,random,0,0.035200100392103195,0.0442214161157608,0.273644357919693,0.9884312152862549,0.019217807799577713,0.13252653181552887,0.9679723381996155,761,155,84,2.017240047454834,0.0004074090684298426,0.0005225479253567755,0.00013767523341812193,30,30,30,0.15549706989769554,0.2057863620019728,64,24,3,69.9
hard_1mm_r2,640,360,cycle,0,0.04537452384829521,0.055980898439884186,0.29682403802871704,0.982193112373352,0.03158536180853844,0.11267499625682831,0.899949312210083,761,155,84,1.8539299964904785,0.0005721992929466069,0.0005760331987403333,0.00019682951096910983,30,30,28,0.13869097542982065,0.2157113198311098,64,44,1,39.9
hard_1mm_r2,640,360,random,0,0.036234982311725616,0.045313991606235504,0.273644357919693,0.9878525137901306,0.031047960743308067,0.13252653181552887,0.939193069934845,761,155,84,2.017240047454834,0.00048549246275797486,0.00047994821215979755,0.0001349300000583753,30,30,18,0.257919353191862,0.2151573734898721,64,44,1,39.1
hard_1mm_r2,426,240,cycle,0,0.03160611912608147,0.03907131403684616,0.29682403802871704,0.9913259148597717,0.02500801719725132,0.11267499625682831,0.9395334124565125,761,155,84,1.8539299964904785,0.00067459064302966,0.0006576810264959931,0.0001737072307150811,30,30,30,0.1209807032511206,0.2185215119392641,64,64,1,19.7
