gap,sensor,th,hard,depth,dip,sd,peak,sym,mtf,ok
1.25,medium_2mm_r2,2,medium,0.2,0.066,0.04,6.79,0.84,0.034,False
1.25,medium_2mm_r2,2,medium,0.3,0.121,0.031,9.54,0.91,0.064,False
1.25,medium_3mm_r1,3,medium,0.1,0.3760282446058639,0.1474554639236297,1.02199387550354,0.5676167304303426,0.2315485126861719,False
1.25,medium_3mm_r1,3,medium,0.2,0.1623630535175175,0.1963820955802794,1.1816233396530151,0.3619702416926703,0.0883542605237151,False
1.25,medium_3mm_r1,3,medium,0.3,0.0536021365767982,0.0952655901912539,2.55797815322876,0.5889229372126247,0.0275391468435575,False
1.25,medium_3mm_r2,3,medium,0.1,0.6889913982669571,0.097797011192369,1.6149604320526123,0.8870710417314507,0.5255430035746284,False
1.25,medium_3mm_r2,3,medium,0.2,0.4554518685260628,0.0910334495390632,2.3350212574005127,0.6575967082124009,0.2948770965728549,False
1.25,medium_3mm_r2,3,medium,0.3,0.0784432468919126,0.0616270221977402,4.015299320220947,0.8413908024568988,0.0408227583000251,False
1.25,soft_1mm_r1,1,soft,0.1,0.2016904005792585,0.0636177215192076,2.6420955657958984,0.7773796402507873,0.1121555491024602,False
1.25,soft_1mm_r1,1,soft,0.2,0.1750770644014558,0.0393932342235621,4.773513317108154,0.9177994705417206,0.0959366891534154,False
1.25,soft_1mm_r1,1,soft,0.3,0.1744110038297234,0.0289780540401942,7.056952476501465,0.974669014644302,0.0955368399982707,False
1.25,soft_1mm_r2,1,soft,0.1,0.5751590791981303,0.0804207085785428,2.497165441513061,0.6992080106699629,0.4036654694577716,False
1.25,soft_1mm_r2,1,soft,0.2,0.1533599769296435,0.0473230225801137,4.818316459655762,0.8623401205770871,0.0830481171282404,False
1.25,soft_1mm_r2,1,soft,0.3,0.0571003419504065,0.0367492026123094,6.279824256896973,0.8695388588696688,0.0293892387668273,False
1.25,soft_2mm_r1,2,soft,0.1,0.167930309995937,0.0724640303967764,4.376391887664795,0.7382199778275629,0.0916615295325171,False
1.25,soft_2mm_r1,2,soft,0.2,0.1437810526734567,0.042341812263037,6.903754234313965,0.8098232209528338,0.0774591019451343,False
1.25,soft_2mm_r1,2,soft,0.3,0.0668536085604438,0.0344024548801242,9.849875450134276,0.9101328310967468,0.0345827966554876,False
1.25,soft_2mm_r2,2,soft,0.1,0.590028588444379,0.1225542496475541,1.6419585943222046,0.6517377927515243,0.4184684764589664,False
1.25,soft_2mm_r2,2,soft,0.2,0.5161349022350561,0.0784939547780016,3.2643964290618896,0.8017463267586236,0.3478314187809113,True
1.25,soft_2mm_r2,2,soft,0.3,0.0923639710873254,0.0664437184121386,5.300434589385986,0.8000543118858244,0.0484180261262792,False
1.25,soft_3mm_r1,3,soft,0.1,0.5496521078354445,0.1260274680144186,1.2321083545684814,0.8061750777964768,0.3789794923031345,False
1.25,soft_3mm_r1,3,soft,0.2,0.2936209627743797,0.1112216686580412,1.6943448781967163,0.5075767639952203,0.1720725327543722,False
1.25,soft_3mm_r1,3,soft,0.3,0.1044838345468257,0.0513490742257111,4.268966674804688,0.7498531940870908,0.0551215739813256,False
1.25,soft_3mm_r2,3,soft,0.1,0.5035273665150877,0.1335440527974792,1.1804616451263428,0.4587703283831962,0.3364761608386368,False
1.25,soft_3mm_r2,3,soft,0.2,0.2705549371737331,0.0560059985895601,3.8349609375,0.7680169415501813,0.1564403189145488,True
1.25,soft_3mm_r2,3,soft,0.3,0.2276381230699726,0.0424012817040106,5.608779430389404,0.8589735210401159,0.1284377225853407,False
