sensor,axis,width_px,median,min,max
medium_1mm_r2,Tx,8,0.0015011820942163,0.001245247782208,0.0017701437463983
medium_1mm_r2,Tx,16,0.0011112415231764,0.0010455596493557,0.0011665979400277
medium_1mm_r2,Tx,32,0.0011989808408543,0.0010061009088531,0.0013952031731605
medium_1mm_r2,Tx,48,0.0013259565457701,0.0010180545505136,0.0014090482145547
medium_1mm_r2,Tx,80,0.0011972865322604,0.0011118977563455,0.001359874382615
medium_1mm_r2,Tx,160,0.0012912530219182,0.0008569529163651,0.0014374564634636
medium_1mm_r2,Tx,320,0.0012253815075382,0.0008653167751617,0.0012269762810319
medium_1mm_r2,Tx,426,0.0011747508542612,0.0011311125708743,0.0013386297505348
medium_1mm_r2,Tx,640,0.0010854370193555,0.0009631512803025,0.0011194986291229
medium_1mm_r2,Tx,854,0.0011879667872563,0.0010663060238584,0.001708514872007
medium_1mm_r2,Tx,1280,0.0011472898768261,0.0011346521787345,0.0012263464741408
medium_1mm_r2,Tx,1920,0.0014279666356742,0.0009926679776981,0.0014432240277528
medium_1mm_r2,Ty,8,0.0016284822486341,0.0012514691334217,0.0018268584972247
medium_1mm_r2,Ty,16,0.000844495894853,0.0006966513465158,0.0009552444680593
medium_1mm_r2,Ty,32,0.0013401345349848,0.0013401074102148,0.0014649836812168
medium_1mm_r2,Ty,48,0.0011368723353371,0.0010359805310145,0.001399848726578
medium_1mm_r2,Ty,80,0.0011491297045722,0.0010405116481706,0.0013423992786556
medium_1mm_r2,Ty,160,0.0013169165467843,0.0011784647358581,0.0017384097445756
medium_1mm_r2,Ty,320,0.0011872705072164,0.0011033180635422,0.0012323328992351
medium_1mm_r2,Ty,426,0.0009985226206481,0.0009238043567165,0.0017494428902864
medium_1mm_r2,Ty,640,0.0011501469416543,0.0009821015410125,0.0011570563074201
medium_1mm_r2,Ty,854,0.0012438859557732,0.0012329560704529,0.0016129200812429
medium_1mm_r2,Ty,1280,0.00111535936594,0.0010783356847241,0.0012529169907793
medium_1mm_r2,Ty,1920,0.0009683202952146,0.0008913013734854,0.0012709749862551
medium_1mm_r2,Tz,8,0.0001531008601887,0.0001351868122583,0.00015629317204
medium_1mm_r2,Tz,16,0.0001415047881891,0.000134585541673,0.0001460382336517
medium_1mm_r2,Tz,32,0.0001392934354953,0.0001305285841226,0.0001436947350157
medium_1mm_r2,Tz,48,0.0001369241654174,0.0001356905559077,0.0001383073686156
medium_1mm_r2,Tz,80,0.000137560928124,0.0001344245974905,0.000154598194058
medium_1mm_r2,Tz,160,0.0001676365354796,0.0001583148405188,0.0001705982140265
medium_1mm_r2,Tz,320,0.0001509026042185,0.0001493116724304,0.0001539508230052
medium_1mm_r2,Tz,426,0.0001601521216798,0.0001591540349181,0.0001610671752132
medium_1mm_r2,Tz,640,0.0001385135983582,0.0001373432460241,0.000154951296281
medium_1mm_r2,Tz,854,0.0001472145086154,0.0001433919824194,0.0001734829857014
medium_1mm_r2,Tz,1280,0.000149993415107,0.0001440312043996,0.0001508224377175
medium_1mm_r2,Tz,1920,0.0001481493818573,0.0001474753371439,0.0001611985935596
medium_2mm_r1,Tx,8,0.0016448843525722,0.0013872601557523,0.0018470303621143
medium_2mm_r1,Tx,16,0.0009764187852852,0.0007994143525138,0.0011232543038204
medium_2mm_r1,Tx,32,0.000887973990757,0.000868989736773,0.0010884774383157
medium_2mm_r1,Tx,48,0.0007360824383795,0.0006292490288615,0.0007696390966884
medium_2mm_r1,Tx,80,0.0006794373039156,0.0005310832639224,0.0009067840874195
medium_2mm_r1,Tx,160,0.0007618215167894,0.0007359158480539,0.0010548173449933
medium_2mm_r1,Tx,320,0.0007973762112669,0.0006518537993542,0.0008332835277542
medium_2mm_r1,Tx,426,0.0007997838547453,0.0006495050620287,0.0008258408633992
medium_2mm_r1,Tx,640,0.0006447535124607,0.0006373087526299,0.0007072876906022
medium_2mm_r1,Tx,854,0.000711737840902,0.000644221319817,0.0009990287944674
medium_2mm_r1,Tx,1280,0.0008596145780757,0.0007187162991613,0.0008789704879745
medium_2mm_r1,Tx,1920,0.0006582168862223,0.0006007406045682,0.0006655880715698
medium_2mm_r1,Ty,8,0.0019029609393328,0.0013955429894849,0.0019692482892423
medium_2mm_r1,Ty,16,0.0010234036017209,0.0006651004077866,0.0010600306559354
medium_2mm_r1,Ty,32,0.0006699571385979,0.000522997288499,0.0008023147820495
medium_2mm_r1,Ty,48,0.0008737221942283,0.0007058507762849,0.0010291929356753
medium_2mm_r1,Ty,80,0.0004794287669938,0.0004313032550271,0.0004948730929754
medium_2mm_r1,Ty,160,0.0005430711898952,0.0004241073620505,0.0006147063686512
medium_2mm_r1,Ty,320,0.0006584518705494,0.0006346537848003,0.0010370874078944
medium_2mm_r1,Ty,426,0.0005901744007132,0.0005641391035169,0.0007492362638004
medium_2mm_r1,Ty,640,0.0006987429223954,0.0005090209306217,0.0007976206834428
medium_2mm_r1,Ty,854,0.0006723725236952,0.0005585631588473,0.0007307585910893
medium_2mm_r1,Ty,1280,0.0006027783383615,0.0005892181652598,0.0007654299843125
medium_2mm_r1,Ty,1920,0.0005285500083118,0.0005132363294251,0.0006167429382912
medium_2mm_r1,Tz,8,0.0001934777537826,0.0001933776511577,0.0002161736483685
medium_2mm_r1,Tz,16,0.0002047490852419,0.0001872726425062,0.0002104914019582
medium_2mm_r1,Tz,32,0.0002173457178287,0.0002117459225701,0.0002185938647016
medium_2mm_r1,Tz,48,0.0002037150552496,0.0001899649651022,0.0002202477335231
medium_2mm_r1,Tz,80,0.0002055576915154,0.0001765947672538,0.0002326030516996
medium_2mm_r1,Tz,160,0.0001963585527846,0.0001844168727984,0.0001983511028811
medium_2mm_r1,Tz,320,0.000155795525643,0.0001551836467115,0.0001772170653566
medium_2mm_r1,Tz,426,0.0001915589236887,0.0001779789599822,0.0002173233078792
medium_2mm_r1,Tz,640,0.0001717530976748,0.0001683596055954,0.0001980204251594
medium_2mm_r1,Tz,854,0.0001637813693378,0.0001610844628885,0.0001797382865333
medium_2mm_r1,Tz,1280,0.000168413243955,0.0001601094991201,0.0001874905719887
medium_2mm_r1,Tz,1920,0.000180915929377,0.0001668416953179,0.0001922123337863
medium_2mm_r2,Tx,8,0.0018172236159443,0.0015024649910628,0.0030370005406439
medium_2mm_r2,Tx,16,0.0014310997212305,0.001229477697052,0.0016610835446044
medium_2mm_r2,Tx,32,0.0011149200145155,0.0010860596084967,0.0011522819986566
medium_2mm_r2,Tx,48,0.0011215730337426,0.000927243148908,0.0013149102451279
