unit,pr,hard,th,rep,ceil,depth,peak,peak_final,steps,fmax,dmax,img0,img1,d_over_t,two_steps_adjacent,ceil_strict,registry_ceil,match_err,ramp_from
DIGIT_Marker_hard_3mm_r1,DIGIT_Marker,hard,3,1,9.23497435667556,2.396653616661414,2.408065276961918,2.408065276961918,39,11.320170850885845,2.612299888147664,6.501285076141357,24.10885238647461,0.7988845388871381,True,9.23497435667556,9.234974356675561,1.7763568394002505e-15,
DIGIT_Marker_hard_3mm_r2,DIGIT_Marker,hard,3,2,12.282480305298373,2.7536539445552783,1.5273798255256767,1.5273798255256767,49,12.282480305298373,2.7639254170938905,6.998456001281738,21.95709991455078,0.9178846481850927,True,12.282480305298373,12.282480305298373,0.0,
DIGIT_Marker_medium_1mm_r1,DIGIT_Marker,medium,1,1,8.257566191896903,1.6037119787833518,2.121192348684651,2.121192348684651,25,10.561983188717504,1.7082595178913706,6.237812519073486,20.406761169433597,1.6037119787833518,True,8.257566191896903,8.257566191896903,0.0,
DIGIT_Marker_medium_1mm_r2,DIGIT_Marker,medium,1,2,12.56442504405656,1.5752936647203413,1.7613579534543184,1.7613579534543184,28,13.44118442246998,1.6044847333502863,9.65440273284912,26.054712295532227,1.5752936647203413,False,,12.56442504405656,0.0,
DIGIT_Marker_medium_2mm_r1,DIGIT_Marker,medium,2,1,6.226042374151303,1.5152520646213397,2.4427120600360985,2.4427120600360985,32,10.873477961292185,1.9620712001592224,6.928541660308838,24.822025299072266,0.7576260323106698,True,6.226042374151303,6.2260423741513025,8.881784197001252e-16,
DIGIT_Marker_medium_2mm_r2,DIGIT_Marker,medium,2,2,10.027504378909551,1.9627252858517004,2.5816980784372143,2.5816980784372143,29,11.475502862323983,2.0447303675186745,6.470843315124512,24.57159423828125,0.9813626429258502,True,10.027504378909551,10.027504378909551,0.0,
DIGIT_Marker_medium_3mm_r1,DIGIT_Marker,medium,3,1,6.939144782104512,2.0557431305114164,2.884612763530979,3.170588672130032,37,10.0642728578169,2.5158408038093683,6.302301406860352,18.485111236572266,0.6852477101704721,True,6.939144782104512,6.939144782104512,0.0,
DIGIT_Marker_medium_3mm_r2,DIGIT_Marker,medium,3,2,6.7336824064301934,2.3297621188709137,1.7902929176851037,1.7902929176851037,41,10.082043124907102,2.7538876786323065,7.378745079040527,18.252901077270508,0.7765873729569712,False,7.388846903875961,6.7336824064301934,0.0,
DIGIT_Marker_soft_1mm_r1,DIGIT_Marker,soft,1,1,20.516453738273636,1.2727021687009383,1.2908239017454577,1.2908239017454577,19,20.516453738273636,1.2727021687009383,6.700160503387451,19.668333053588867,1.2727021687009383,True,20.516453738273636,20.516453738273633,3.552713678800501e-15,DIGIT_Marker_soft_1mm_r1__ceiling
DIGIT_Marker_soft_1mm_r2,DIGIT_Marker,soft,1,2,12.330521853015586,1.3164236352716507,1.6101104122414582,1.6101104122414582,21,15.940669739458723,1.4163168526893948,6.132410526275635,18.19294166564941,1.3164236352716507,False,,12.330521853015586,0.0,DIGIT_Marker_soft_1mm_r2__ceiling
