sensor,width_px,height_px,split,seed,fx_mae,fy_mae,fz_mae,fz_rmse,res_mae,res_rmse,mag_mae,res_mae_shear,res_mae_normal,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds,sh,res,res_kind,density_px_per_mm2
soft_2mm_r1,1920,1080,cycle,1,0.041628573089838,0.0511325635015964,0.1500128209590912,0.2375707179307937,0.1782806366682052,0.2554792761802673,0.1518465429544448,0.2375331073999405,0.1153705939650535,0.549440324306488,0.8671119213104248,0.0557148195803165,0.1910722404718399,0.8814760446548462,0.07566899061203,0.101916879415512,86,81,none,grey,680,153,167,3.1895198822021484,0.0011917065130546,0.0011364320525899,0.0001983164111152,30,30,23,0.2005314053419758,0.2399431652103374,64,4,16,249.4,0.0463805682957172,0.1782806366682052,실측,13001.472576000004
soft_2mm_r1,1920,1080,cycle,2,0.0376461595296859,0.0493008457124233,0.1222589090466499,0.1774087101221084,0.1519263088703155,0.2013141959905624,0.1196334511041641,0.2040796428918838,0.0965536236763,0.549440324306488,0.925894558429718,0.0518414676189422,0.1910722404718399,0.8821894526481628,0.0818201676011085,0.0893013179302215,86,81,none,grey,680,153,167,3.1895198822021484,0.0010947132250294,0.000922908890061,0.0001810737885534,30,30,29,0.1411427810788154,0.2514837339423061,64,4,16,250.5,0.043473502621054594,0.1519263088703155,실측,13001.472576000004
soft_2mm_r1,1280,720,cycle,0,0.0361402742564678,0.0546528361737728,0.133378267288208,0.2032519876956939,0.1634124666452407,0.2253085523843765,0.130885824561119,0.2266910225152969,0.0962278097867965,0.549440324306488,0.9027320146560668,0.0519536472856998,0.1910722404718399,0.8845810294151306,0.0809112191200256,0.086820363998413,86,81,none,grey,680,153,167,3.1895198822021484,0.0013657408999279,0.0009798191022127,0.000212443381315,30,30,29,0.1360597236191525,0.2583338376743341,64,8,8,109.0,0.0453965552151203,0.1634124666452407,실측,5778.432256000001
soft_2mm_r1,1280,720,cycle,1,0.0343041643500328,0.0445840619504451,0.13832588493824,0.1982263028621673,0.1640637665987014,0.2149859964847564,0.1368400752544403,0.2044732570648193,0.1211598739027977,0.549440324306488,0.9074827432632446,0.0466399155557155,0.1910722404718399,0.9062055349349976,0.0712036564946174,0.1135682836174964,86,81,none,grey,680,153,167,3.1895198822021484,0.0010696684475988,0.0008022555266506,0.0001926478289533,30,30,25,0.1568371471236734,0.2296599545120413,64,8,8,108.5,0.03944411315023895,0.1640637665987014,실측,5778.432256000001
soft_2mm_r1,1280,720,cycle,2,0.0381661988794803,0.0574979782104492,0.1395607590675354,0.2007250487804412,0.1680124551057815,0.2211436480283737,0.1365707963705063,0.2192069590091705,0.1136577501893043,0.549440324306488,0.9051355719566344,0.060898408293724,0.1910722404718399,0.8788024187088013,0.0705252289772033,0.0923560932278633,86,81,none,grey,680,153,167,3.1895198822021484,0.0012037663254886,0.000878280843608,0.000203312607482,30,30,30,0.1280671649557702,0.2519558765529807,64,8,8,108.6,0.04783208854496475,0.1680124551057815,실측,5778.432256000001
soft_2mm_r1,854,480,cycle,0,0.040865920484066,0.0551303476095199,0.1169452667236328,0.1679578870534896,0.1501819342374801,0.1945578455924987,0.1172289326786995,0.1968763023614883,0.1006051898002624,0.549440324306488,0.933579683303833,0.0545843429863452,0.1910722404718399,0.879594087600708,0.0767122060060501,0.0854036435484886,86,81,none,grey,680,153,167,3.1895198822021484,0.0013695502420887,0.0010129865258932,0.0002086671011056,30,30,29,0.1468307808918111,0.2573815280315922,64,16,4,50.9,0.047998134046792956,0.1501819342374801,실측,2572.2064814556247
soft_2mm_r1,854,480,cycle,1,0.0353125371038913,0.0472870171070098,0.1168656349182128,0.1676106005907058,0.1434552818536758,0.1888554245233535,0.1166694313287735,0.2000408172607422,0.0833768025040626,0.549440324306488,0.933854043483734,0.0433271862566471,0.1910722404718399,0.9173264503479004,0.0668370798230171,0.0739227011799812,86,81,none,grey,680,153,167,3.1895198822021484,0.0010956720216199,0.0008187385974451,0.0001813150156522,30,30,29,0.1527063110295464,0.2343962535359501,64,16,4,49.8,0.04129977710545055,0.1434552818536758,실측,2572.2064814556247
soft_2mm_r1,854,480,cycle,2,0.040561843663454,0.0548063144087791,0.1269060224294662,0.1900972872972488,0.1595978438854217,0.2132219970226287,0.1276090741157531,0.2109237015247345,0.1051036939024925,0.549440324306488,0.9149152040481568,0.0555784963071346,0.1910722404718399,0.8903449177742004,0.0718079060316085,0.0885515660047531,86,81,none,grey,680,153,167,3.1895198822021484,0.001265094266273,0.0009769856696948,0.0001921697403304,30,30,27,0.1680049240589141,0.2522277863197077,64,16,4,49.9,0.04768407903611655,0.1595978438854217,실측,2572.2064814556247
soft_2mm_r1,640,360,cycle,0,0.0370414219796657,0.0539976507425308,0.1068901941180229,0.1571845710277557,0.140181079506874,0.1800917237997055,0.1076262816786766,0.1765151917934417,0.1016041412949562,0.549440324306488,0.9418271780014038,0.056019265204668,0.1910722404718399,0.8987615704536438,0.0638569593429565,0.0753554925322532,86,81,none,grey,680,153,167,3.1895198822021484,0.001752147800289,0.0009901797166094,0.0001953082537511,30,30,30,0.1678407332476447,0.2538905206069448,64,32,2,28.7,0.04551953636109825,0.140181079506874,실측,1444.6080640000002
soft_2mm_r1,640,360,cycle,1,0.0495338849723339,0.0542368330061435,0.1655009090900421,0.2271407544612884,0.1956254839897155,0.2497659176588058,0.1661480814218521,0.2400586605072021,0.148449569940567,0.549440324306488,0.8785240650177002,0.0564673654735088,0.1910722404718399,0.8699659705162048,0.0826228484511375,0.1357834637165069,86,81,none,grey,680,153,167,3.1895198822021484,0.0013306647306308,0.0013284244341775,0.0002054142678389,30,30,29,0.17295463681221,0.2846557610954334,64,32,2,28.1,0.0518853589892387,0.1956254839897155,실측,1444.6080640000002
