t,x,y,z,rx,ry,rz
1788453662.998866,37.9006,362.8735,39.8165,-179.2433,-0.567,-118.0183
1788453663.018936,37.9015,362.8729,39.8152,-179.2433,-0.5673,-118.0187
1788453663.039009,37.9,362.8739,39.8161,-179.2436,-0.567,-118.0183
1788453663.059089,37.9006,362.8735,39.8165,-179.2433,-0.567,-118.0183
1788453663.079174,37.9011,362.8754,39.8182,-179.2437,-0.5668,-118.0187
1788453663.099237,37.9011,362.875,39.8169,-179.2436,-0.567,-118.0185
1788453663.119323,37.9016,362.8728,39.8169,-179.2433,-0.5673,-118.0185
1788453663.139403,37.9021,362.8729,39.8169,-179.2432,-0.5672,-118.0185
1788453663.159464,37.9015,362.8733,39.8165,-179.2435,-0.5672,-118.0187
1788453663.179523,37.9017,362.8751,39.8169,-179.2435,-0.5669,-118.0185
1788453663.199581,37.9011,362.875,39.8169,-179.2436,-0.567,-118.0185
1788453663.219640,37.9013,362.8741,39.816,-179.2433,-0.5673,-118.0185
1788453663.239705,37.9014,362.8738,39.8161,-179.2436,-0.567,-118.0187
1788453663.259764,37.9001,362.8734,39.8165,-179.2435,-0.5672,-118.0185
1788453663.279839,37.9005,362.874,39.8161,-179.2434,-0.5669,-118.0185
1788453663.299907,37.9001,362.8734,39.8165,-179.2435,-0.5672,-118.0185
1788453663.320003,37.8998,362.8752,39.8169,-179.2436,-0.567,-118.0183
1788453663.340163,37.902,362.873,39.8152,-179.2432,-0.5672,-118.0185
1788453663.360306,37.9022,362.8695,39.8126,-179.2431,-0.5677,-118.0185
1788453663.380465,37.9031,362.8597,39.7527,-179.2386,-0.573,-118.0183
1788453663.400604,37.9049,362.847,39.6893,-179.2351,-0.5777,-118.0183
1788453663.420769,37.9049,362.8467,39.6664,-179.2347,-0.5783,-118.0186
1788453663.440920,37.9054,362.8444,39.6414,-179.2344,-0.5786,-118.0186
1788453663.461060,37.9055,362.8513,39.6309,-179.2359,-0.5767,-118.0186
1788453663.481187,37.905,362.8569,39.6048,-179.2376,-0.5742,-118.0185
1788453663.501322,37.9024,362.8636,39.5866,-179.2389,-0.5727,-118.0183
1788453663.521468,37.9029,362.8654,39.5665,-179.2397,-0.5719,-118.0185
1788453663.541636,37.8998,362.8748,39.5361,-179.2419,-0.5692,-118.0185
1788453663.561792,37.9001,362.8732,39.5155,-179.2419,-0.5692,-118.0185
1788453663.581963,37.9029,362.8728,39.4922,-179.2419,-0.5692,-118.0187
1788453663.602103,37.9006,362.8781,39.4582,-179.2432,-0.5675,-118.0185
1788453663.622263,37.8989,362.8797,39.432,-179.2436,-0.567,-118.0187
1788453663.642435,37.8995,362.8767,39.4077,-179.2428,-0.568,-118.0183
1788453663.662575,37.9012,362.8775,39.3737,-179.2428,-0.5677,-118.0187
1788453663.682719,37.9006,362.8782,39.3447,-179.2435,-0.5672,-118.0185
1788453663.702864,37.9003,362.8796,39.3185,-179.2439,-0.5667,-118.0185
1788453663.722934,37.9011,362.8779,39.2815,-179.2435,-0.5669,-118.0185
1788453663.743007,37.9007,362.8772,39.2569,-179.2435,-0.5672,-118.0185
1788453663.763077,37.9007,362.8772,39.2302,-179.2435,-0.5672,-118.0187
1788453663.783146,37.8998,362.8776,39.1933,-179.2436,-0.5667,-118.0183
1788453663.803216,37.8995,362.8795,39.1685,-179.2441,-0.566,-118.0185
1788453663.823381,37.9006,362.878,39.141,-179.2443,-0.5661,-118.0187
1788453663.843512,37.9025,362.8779,39.1075,-179.2444,-0.5657,-118.0187
1788453663.863663,37.9006,362.8782,39.0856,-179.2447,-0.5656,-118.0185
1788453663.883827,37.8992,362.8784,39.0589,-179.2447,-0.5656,-118.0182
1788453663.903960,37.8993,362.8805,39.0222,-179.2453,-0.5645,-118.0182
1788453663.924111,37.9006,362.8781,38.9969,-179.2456,-0.5644,-118.0185
1788453663.944252,37.9006,362.8778,38.9739,-179.2452,-0.5649,-118.0185
1788453663.964403,37.9006,362.8778,38.9337,-179.2458,-0.5643,-118.0182
1788453663.984570,37.9002,362.8728,38.904,-179.2454,-0.5648,-118.0182
1788453664.004776,37.9006,362.8704,38.8758,-179.2447,-0.5656,-118.0182
1788453664.024926,37.9012,362.8675,38.8413,-179.2442,-0.5663,-118.0183
