principle,unit,hardness,thickness_mm,rep,metric,value
9DTact,hard_1mm_r2,hard,1,2,형상 MAE cube4 최솟값 (mm),0.058032918926127
9DTact,hard_2mm_r1,hard,2,1,형상 MAE cyl4 최솟값 (mm),0.0975424545996847
9DTact,hard_2mm_r1,hard,2,1,형상 MAE cube4 최솟값 (mm),0.0755695400549622
9DTact,hard_2mm_r2,hard,2,2,형상 MAE cyl4 최솟값 (mm),0.0432631555928541
9DTact,hard_2mm_r2,hard,2,2,형상 MAE cube4 최솟값 (mm),0.0716444830298723
9DTact,hard_3mm_r1,hard,3,1,형상 MAE cyl4 최솟값 (mm),0.061925155030431
9DTact,hard_3mm_r1,hard,3,1,형상 MAE cube4 최솟값 (mm),0.0723464289990811
9DTact,hard_3mm_r2,hard,3,2,형상 MAE cyl4 최솟값 (mm),0.0913877317759624
9DTact,hard_3mm_r2,hard,3,2,형상 MAE cube4 최솟값 (mm),0.0720877367890461
9DTact,medium_1mm_r1,medium,1,1,형상 MAE cyl4 최솟값 (mm),0.1009916774517412
9DTact,medium_1mm_r1,medium,1,1,형상 MAE cube4 최솟값 (mm),0.1831790823027302
9DTact,medium_1mm_r2,medium,1,2,형상 MAE cyl4 최솟값 (mm),0.0644283033742624
9DTact,medium_1mm_r2,medium,1,2,형상 MAE cube4 최솟값 (mm),0.0669177117320689
9DTact,medium_2mm_r2,medium,2,2,형상 MAE cyl4 최솟값 (mm),0.0474107292291973
9DTact,medium_2mm_r2,medium,2,2,형상 MAE cube4 최솟값 (mm),0.0492800402931567
9DTact,medium_3mm_r1,medium,3,1,형상 MAE cyl4 최솟값 (mm),0.1047841592014676
9DTact,medium_3mm_r1,medium,3,1,형상 MAE cube4 최솟값 (mm),0.0932602158091443
9DTact,medium_3mm_r2,medium,3,2,형상 MAE cyl4 최솟값 (mm),0.0484627937184541
9DTact,medium_3mm_r2,medium,3,2,형상 MAE cube4 최솟값 (mm),0.0529098308472288
9DTact,soft_1mm_r1,soft,1,1,형상 MAE cyl4 최솟값 (mm),0.0682699738021551
9DTact,soft_1mm_r1,soft,1,1,형상 MAE cube4 최솟값 (mm),0.1193357370114025
9DTact,soft_1mm_r2,soft,1,2,형상 MAE cyl4 최솟값 (mm),0.094695847746312
9DTact,soft_1mm_r2,soft,1,2,형상 MAE cube4 최솟값 (mm),0.1982524058450264
9DTact,soft_2mm_r1,soft,2,1,형상 MAE cyl4 최솟값 (mm),0.061921004861276
9DTact,soft_2mm_r1,soft,2,1,형상 MAE cube4 최솟값 (mm),0.1310601267416568
9DTact,soft_2mm_r2,soft,2,2,형상 MAE cyl4 최솟값 (mm),0.0477946986604281
9DTact,soft_2mm_r2,soft,2,2,형상 MAE cube4 최솟값 (mm),0.052946142521024
9DTact,soft_3mm_r1,soft,3,1,형상 MAE cyl4 최솟값 (mm),0.0460480061131948
9DTact,soft_3mm_r1,soft,3,1,형상 MAE cube4 최솟값 (mm),0.0481800079247918
9DTact,soft_3mm_r2,soft,3,2,형상 MAE cyl4 최솟값 (mm),0.0612016849092754
9DTact,soft_3mm_r2,soft,3,2,형상 MAE cube4 최솟값 (mm),0.0584617793593883
DIGIT,soft_1mm_r1,soft,1,1,천장 (N),23.41254982668352
DIGIT,soft_1mm_r1,soft,1,1,포화 깊이 (mm),0.9599031401923668
DIGIT,soft_1mm_r2,soft,1,2,천장 (N),22.449198933907432
DIGIT,soft_1mm_r2,soft,1,2,포화 깊이 (mm),1.3153767166200367
DIGIT,soft_2mm_r1,soft,2,1,천장 (N),17.71834051220396
DIGIT,soft_2mm_r1,soft,2,1,포화 깊이 (mm),1.5753167070132683
DIGIT,soft_2mm_r2,soft,2,2,천장 (N),14.735948722276902
DIGIT,soft_2mm_r2,soft,2,2,포화 깊이 (mm),1.496014633415438
DIGIT,soft_3mm_r1,soft,3,1,천장 (N),11.76112258608135
DIGIT,soft_3mm_r1,soft,3,1,포화 깊이 (mm),1.796520162529884
DIGIT,soft_3mm_r2,soft,3,2,천장 (N),11.09157022794685
DIGIT,soft_3mm_r2,soft,3,2,포화 깊이 (mm),1.92658814951654
DIGIT,medium_1mm_r1,medium,1,1,천장 (N),18.21929859107194
DIGIT,medium_1mm_r1,medium,1,1,포화 깊이 (mm),1.0912059627263702
DIGIT,medium_1mm_r2,medium,1,2,천장 (N),22.072333152914783
DIGIT,medium_1mm_r2,medium,1,2,포화 깊이 (mm),1.158726017423568
DIGIT,medium_2mm_r1,medium,2,1,천장 (N),14.138581849754152
DIGIT,medium_2mm_r1,medium,2,1,포화 깊이 (mm),1.6478677457603972
DIGIT,medium_2mm_r2,medium,2,2,천장 (N),22.590942160303705
DIGIT,medium_2mm_r2,medium,2,2,포화 깊이 (mm),1.528356973132368
DIGIT,medium_3mm_r1,medium,3,1,천장 (N),14.4159646485878
DIGIT,medium_3mm_r1,medium,3,1,포화 깊이 (mm),2.067055300283876
DIGIT,medium_3mm_r2,medium,3,2,천장 (N),15.034245909708702
DIGIT,medium_3mm_r2,medium,3,2,포화 깊이 (mm),2.160886736672076
DIGIT,hard_1mm_r1,hard,1,1,천장 (N),19.45536450623125
DIGIT,hard_1mm_r1,hard,1,1,포화 깊이 (mm),1.0952844868099518
DIGIT,hard_1mm_r2,hard,1,2,천장 (N),16.95072029347406
DIGIT,hard_1mm_r2,hard,1,2,포화 깊이 (mm),0.9620606494110469
DIGIT,hard_2mm_r1,hard,2,1,천장 (N),22.41093170485956
