principle,unit,probe,centre_gap_mm,edge_gap_mm,hardness,thickness_mm,rep,depth_mm,dip,dip_sd,imprint_lvl,symmetry,verdict,mtf,verdict_mtf
9DTact,medium_3mm_r1,pair010,1.1,0.1,medium,3,1,0.8,0.053,0.018,11.38,0.98,미분해,0.027,미분해
9DTact,medium_3mm_r1,pair010,1.1,0.1,medium,3,1,0.9,0.031,0.02,12.66,1.0,미분해,0.016,미분해
9DTact,medium_3mm_r2,pair010,1.1,0.1,medium,3,2,0.1,0.5,0.12,1.42,0.54,신호부족,0.334,신호부족
9DTact,medium_3mm_r2,pair010,1.1,0.1,medium,3,2,0.2,0.171,0.105,2.23,0.66,신호부족,0.094,신호부족
9DTact,medium_3mm_r2,pair010,1.1,0.1,medium,3,2,0.4,0.11,0.038,6.16,0.91,미분해,0.058,미분해
9DTact,medium_3mm_r2,pair010,1.1,0.1,medium,3,2,0.5,0.111,0.032,8.59,0.97,미분해,0.059,미분해
9DTact,medium_3mm_r2,pair010,1.1,0.1,medium,3,2,0.6,0.113,0.025,10.39,0.96,미분해,0.06,미분해
9DTact,medium_3mm_r2,pair010,1.1,0.1,medium,3,2,0.7,0.115,0.026,12.91,0.94,미분해,0.061,미분해
9DTact,medium_3mm_r2,pair010,1.1,0.1,medium,3,2,0.8,0.027,0.026,15.21,0.9,미분해,0.014,미분해
9DTact,medium_3mm_r2,pair010,1.1,0.1,medium,3,2,0.9,0.015,0.019,17.66,0.94,미분해,0.007,미분해
9DTact,hard_1mm_r1,pair010,1.1,0.1,hard,1,1,0.1,0.123,0.039,5.5,0.97,미분해,0.066,미분해
9DTact,hard_1mm_r1,pair010,1.1,0.1,hard,1,1,0.2,0.102,0.032,7.53,0.97,미분해,0.054,미분해
9DTact,hard_1mm_r1,pair010,1.1,0.1,hard,1,1,0.3,0.122,0.022,9.93,0.99,미분해,0.065,미분해
