unit,probe,width_px,depth_mm,dip,dip_sd,imprint_lvl,mtf,verdict,density_px_per_mm2
hard_3mm_r1,pair050,1280,0.2,0.18114423171413818,0.10935385935057722,1.739548921585083,0.09959241126901082,신호부족,2655.233658896602
hard_3mm_r1,pair050,1280,0.3,-0.07614197066521,0.07469032705410435,2.9634499549865723,-0.036674741776360084,미분해,2655.233658896602
hard_3mm_r1,pair050,854,0.1,0.4074930188762683,0.12738509512066265,1.1052405834197998,0.2558814647008493,신호부족,1181.9484809398402
hard_3mm_r1,pair050,854,0.2,0.18041621898027949,0.07685124356767302,2.1932477951049805,0.0991524659992142,신호부족,1181.9484809398402
hard_3mm_r1,pair050,854,0.3,0.2117885863980864,0.04473572756320015,3.832021951675415,0.11843598848946515,미분해,1181.9484809398402
hard_3mm_r1,pair050,640,0.1,0.48262450436669424,0.10095185659361608,1.2197626829147339,0.31806530799765,신호부족,663.8084147241505
hard_3mm_r1,pair050,640,0.2,0.055964814620827585,0.07498221270268615,2.0438523292541504,0.02878796384022853,신호부족,663.8084147241505
hard_3mm_r1,pair050,640,0.3,0.259518413680628,0.036122949150287645,3.7479910850524902,0.14910724463878777,미분해,663.8084147241505
hard_3mm_r1,pair050,426,0.1,0.9199043222489782,0.08922725843045469,0.5625460743904114,0.8516878098840333,신호부족,294.1047262462889
hard_3mm_r1,pair050,426,0.2,0.136487200629824,0.04354659797302514,2.199817657470703,0.07324189062503544,신호부족,294.1047262462889
hard_3mm_r1,pair050,426,0.3,0.15372655175421068,0.027739638333982304,3.4719443321228027,0.08326315470780983,미분해,294.1047262462889
hard_3mm_r1,pair050,320,0.1,0.8299587896118639,0.0771959846035499,0.6147276759147644,0.709341502028414,신호부족,165.9521036810376
hard_3mm_r1,pair050,320,0.2,-0.020097707672936727,0.038234436478145,2.106947183609009,-0.009948879005505333,신호부족,165.9521036810376
hard_3mm_r1,pair050,320,0.3,0.14595297650879646,0.021340404762592715,3.481910228729248,0.07872129167142934,미분해,165.9521036810376
hard_3mm_r1,pair050,160,0.1,,,,,접촉 없음,41.4880259202594
hard_3mm_r1,pair050,160,0.2,,,,,접촉 없음,41.4880259202594
hard_3mm_r1,pair050,160,0.3,-0.1363635440149249,0.016746507929604495,3.168475389480591,-0.06382974676615814,미분해,41.4880259202594
hard_3mm_r1,pair050,80,0.1,,,,,접촉 없음,10.37200648006485
hard_3mm_r1,pair050,80,0.2,,,,,접촉 없음,10.37200648006485
hard_3mm_r1,pair050,80,0.3,,,,,접촉 없음,10.37200648006485
hard_3mm_r1,pair050,48,0.1,,,,,접촉 없음,3.733922332823346
hard_3mm_r1,pair050,48,0.2,,,,,접촉 없음,3.733922332823346
hard_3mm_r1,pair050,48,0.3,,,,,접촉 없음,3.733922332823346
hard_3mm_r1,pair050,32,0.1,,,,,접촉 없음,1.6595210368103759
hard_3mm_r1,pair050,32,0.2,,,,,접촉 없음,1.6595210368103759
hard_3mm_r1,pair050,32,0.3,,,,,접촉 없음,1.6595210368103759
hard_3mm_r1,pair050,16,0.1,,,,,접촉 없음,0.41488025920259397
hard_3mm_r1,pair050,16,0.2,,,,,접촉 없음,0.41488025920259397
hard_3mm_r1,pair050,16,0.3,,,,,접촉 없음,0.41488025920259397
hard_3mm_r1,pair050,8,0.1,,,,,접촉 없음,0.10372006480064849
hard_3mm_r1,pair050,8,0.2,,,,,접촉 없음,0.10372006480064849
hard_3mm_r1,pair050,8,0.3,,,,,접촉 없음,0.10372006480064849
medium_1mm_r1,pair050,1920,0.1,0.31007426006381156,0.0715656025824861,3.702291250228882,0.18348395597283462,분해,8846.581748967654
medium_1mm_r1,pair050,1920,0.2,-0.208524496442541,0.07864860924876141,3.9484784603118896,-0.09441801382707292,미분해,8846.581748967654
medium_1mm_r1,pair050,1920,0.3,-0.14648017022055138,0.05180419017813231,6.11958646774292,-0.06824203281854704,미분해,8846.581748967654
medium_1mm_r1,pair050,1280,0.1,0.4434249368152402,0.04067440030148092,4.615757465362549,0.28487218336132836,분해,3931.8141106522903
medium_1mm_r1,pair050,1280,0.2,0.06986156074944294,0.05306425823272918,3.7330000400543213,0.03619510358882291,미분해,3931.8141106522903
medium_1mm_r1,pair050,1280,0.3,-0.3784426791483553,0.059298751065158,4.766911506652832,-0.15911364291691213,미분해,3931.8141106522903
medium_1mm_r1,pair050,854,0.1,0.3271596879295058,0.03513960006307116,4.320757865905762,0.19557137974788305,분해,1750.2044311062532
medium_1mm_r1,pair050,854,0.2,-0.05282372579630268,0.041470545939296895,3.9337735176086426,-0.025732226850511505,미분해,1750.2044311062532
medium_1mm_r1,pair050,854,0.3,-0.28643296060793877,0.03678053182222895,5.934962272644043,-0.12527503125732545,미분해,1750.2044311062532
medium_1mm_r1,pair050,640,0.1,0.2748085416925351,0.03905833298916422,3.8805625438690186,0.15929161970355557,분해,982.9535276630726
medium_1mm_r1,pair050,640,0.2,-0.39129487725277645,0.045774111863230285,3.7696335315704346,-0.16363305127066266,미분해,982.9535276630726
medium_1mm_r1,pair050,640,0.3,-0.12211773723157604,0.022695638856130185,7.146942138671875,-0.05754522243939467,미분해,982.9535276630726
medium_1mm_r1,pair050,426,0.1,0.15567231210675925,0.030555601468623888,3.601296901702881,0.08440599418890815,미분해,435.50408785689393
medium_1mm_r1,pair050,426,0.2,-0.20991936690749768,0.024072235002121984,5.286048412322998,-0.09498960462130036,미분해,435.50408785689393
medium_1mm_r1,pair050,426,0.3,-0.04591865518936622,0.014595089506526418,7.919518947601318,-0.02244402780770186,미분해,435.50408785689393
medium_1mm_r1,pair050,320,0.1,0.12288322231587068,0.022475444802946026,3.8111979961395264,0.06546381332091461,미분해,245.73838191576814
medium_1mm_r1,pair050,320,0.2,-0.10500129750493903,0.018323947467606377,6.041751861572266,-0.04988182079953928,미분해,245.73838191576814
medium_1mm_r1,pair050,320,0.3,0.04750624793162084,0.012221682081420274,8.356952667236328,0.024331062714692403,미분해,245.73838191576814
medium_1mm_r1,pair050,160,0.1,0.051891462411485234,0.01476929232979366,3.528242826461792,0.026636843589690137,미분해,61.434595478942036
medium_1mm_r1,pair050,160,0.2,-0.1367827769461285,0.010329527537928344,6.193597793579102,-0.064013421683236,미분해,61.434595478942036
