unit,probe,gap_mm,depth_mm,sep_px,px_per_mm_recorded,px_per_mm_from_pair,ratio
medium_2mm_r2,pair025,1.25,0.3876219270990653,114.11035,103.50675559732468,91.288284,0.88195485
medium_2mm_r2,pair025,1.25,0.4848827699536464,114.28058,103.50675559732468,91.42446,0.8832705
medium_2mm_r2,pair025,1.25,0.5865767383749301,114.41998,103.50675559732468,91.53599,0.884348
medium_2mm_r2,pair025,1.25,0.683200833858475,195.4237,103.50675559732468,156.33896,1.5104228
medium_2mm_r2,pair025,1.25,0.7835532842183035,194.39966,103.50675559732468,155.51973,1.502508
medium_2mm_r2,pair025,1.25,0.8862033722388496,195.61868,103.50675559732468,156.49495,1.5119299
medium_3mm_r1,pair025,1.25,0.0769980165785995,170.25592,85.4583072072852,136.20474,1.5938152
medium_3mm_r1,pair025,1.25,0.1758264020990729,170.12976,85.4583072072852,136.1038,1.5926341
medium_3mm_r1,pair025,1.25,0.2733195726215172,187.03635,85.4583072072852,149.62907,1.7509015
medium_3mm_r1,pair025,1.25,0.3802585182549833,169.98752,85.4583072072852,135.99002,1.5913025
medium_3mm_r1,pair025,1.25,0.4757657364385323,170.22305,85.4583072072852,136.17844,1.5935073
medium_3mm_r1,pair025,1.25,0.5739278640461727,170.8136,85.4583072072852,136.65088,1.5990356
medium_3mm_r1,pair025,1.25,0.6742915720500164,170.25546,85.4583072072852,136.20438,1.5938109
medium_3mm_r1,pair025,1.25,0.7769647661467793,170.23999,85.4583072072852,136.19199,1.5936658
medium_3mm_r1,pair025,1.25,0.8778345660965563,169.88702,85.4583072072852,135.90962,1.5903618
medium_3mm_r2,pair025,1.25,0.0803857394054361,154.27591,88.9440148124593,123.42073,1.3876226
medium_3mm_r2,pair025,1.25,0.1716007457054011,187.914,88.9440148124593,150.3312,1.6901779
medium_3mm_r2,pair025,1.25,0.2738015066989199,170.85214,88.9440148124593,136.68172,1.5367163
medium_3mm_r2,pair025,1.25,0.3778208624139907,171.1294,88.9440148124593,136.90352,1.53921
medium_3mm_r2,pair025,1.25,0.4762199135259379,171.80505,88.9440148124593,137.44405,1.5452871
medium_3mm_r2,pair025,1.25,0.5809311201120764,171.61636,88.9440148124593,137.29309,1.54359
medium_3mm_r2,pair025,1.25,0.686006177088835,170.72769,88.9440148124593,136.58215,1.5355968
medium_3mm_r2,pair025,1.25,0.7779811432132782,153.60687,88.9440148124593,122.8855,1.381605
medium_3mm_r2,pair025,1.25,0.8818100887491589,153.81885,88.9440148124593,123.05508,1.3835115
soft_1mm_r1,pair025,1.25,0.0878246178961354,135.01645,108.24754899274964,108.01316,0.9978347
soft_1mm_r1,pair025,1.25,0.1912729095840539,118.62894,108.24754899274964,94.90315,0.87672335
soft_1mm_r1,pair025,1.25,0.2900434721561282,118.6355,108.24754899274964,94.9084,0.8767718
