t,Fx,Fy,Fz,Tx,Ty,Tz
1788791881.683311,0.00128,0.00702,-0.2989,-7e-05,-0.00013,-0.00014
1788791881.703656,-1e-05,0.00409,-0.31244,7e-05,-0.00012,-0.00026
1788791881.723968,9e-05,0.01098,-0.32675,-0.00026,-0.00014,-3e-05
1788791881.743233,0.00147,0.00496,-0.32183,-0.0001,-0.00028,-0.00018
1788791881.764020,-0.00112,0.00307,-0.34745,4e-05,5e-05,-0.00015
1788791881.783039,0.00204,0.00858,-0.34952,-0.0,-7e-05,-7e-05
1788791881.803426,0.00328,0.00172,-0.35863,-8e-05,-0.00023,-0.00015
1788791881.823787,-0.00131,0.00124,-0.3829,5e-05,-0.00018,-0.00016
1788791881.843137,0.00258,0.00436,-0.39233,0.0001,-0.00016,2e-05
1788791881.863559,0.00104,0.00348,-0.40003,7e-05,-0.00018,-1e-05
1788791881.883915,0.0012,0.00242,-0.37741,-0.00011,-0.00034,-0.00016
1788791881.903234,0.00338,0.00697,-0.36927,-7e-05,-0.0003,-0.00015
1788791881.923621,-0.00471,0.00176,-0.38435,7e-05,-0.00019,-0.00022
1788791881.942998,0.00145,0.00418,-0.38242,0.00017,-0.0,-0.0001
1788791881.963392,-0.00092,0.00128,-0.39291,6e-05,-0.00026,-6e-05
1788791881.984107,0.00168,0.01032,-0.37978,0.00012,-0.00013,-0.00014
1788791882.003679,-0.00044,0.00491,-0.38448,-9e-05,-0.00015,-3e-05
1788791882.022974,-0.00043,0.0029,-0.3967,5e-05,-0.00031,-3e-05
1788791882.043388,0.00113,0.0043,-0.37141,-0.00017,-0.00031,-0.00011
1788791882.063722,-0.00172,0.00091,-0.39416,0.00025,-0.00023,-0.00017
1788791882.083065,-0.00156,0.00162,-0.38115,0.00028,-0.00026,-0.00021
1788791882.103405,-0.00042,0.00601,-0.39086,0.00046,-4e-05,-0.00011
1788791882.123161,-0.00114,-0.00112,-0.38062,0.00011,-0.00037,-0.00022
1788791882.143715,-0.00148,0.00193,-0.40013,4e-05,-0.00025,-7e-05
1788791882.163041,-0.00174,0.01006,-0.38278,8e-05,-0.00019,-0.00018
1788791882.183584,-0.00044,0.00294,-0.37918,-5e-05,-0.00031,-0.0002
1788791882.203961,0.00195,0.00205,-0.38736,0.00027,-0.00021,-0.00031
1788791882.223270,-0.0015,0.00578,-0.38598,7e-05,-0.00014,-0.00021
1788791882.243603,-0.00117,0.00844,-0.40494,0.00015,-0.00015,-0.00016
1788791882.263954,-0.00252,0.00488,-0.39478,2e-05,-0.0002,-0.00019
1788791882.283229,-0.00021,0.00493,-0.4132,-1e-05,-0.00029,-3e-05
1788791882.303694,0.00207,0.00621,-0.42734,8e-05,-0.00015,-9e-05
1788791882.322972,0.00086,0.01121,-0.41133,0.0001,-0.00032,-0.00027
1788791882.343397,-0.00349,0.00591,-0.40441,-8e-05,-0.00026,-0.00017
1788791882.363720,0.00362,0.00655,-0.42243,5e-05,-0.00017,-0.00013
1788791882.383030,-0.00019,0.00719,-0.43865,1e-05,-0.00023,-8e-05
1788791882.403364,-0.00015,0.00502,-0.44442,0.00013,-0.00022,-5e-05
1788791882.423715,0.00138,0.00775,-0.44525,0.0,-0.00024,-0.00011
1788791882.442967,0.00089,0.0112,-0.45913,0.0001,-0.00024,-7e-05
1788791882.463322,0.00203,0.00482,-0.45935,0.0001,-0.00012,-0.0
1788791882.483661,-0.00191,0.00354,-0.47912,0.00018,-0.0002,-5e-05
1788791882.502996,-0.00031,0.00608,-0.46112,0.0001,-0.00027,-0.00014
1788791882.523309,0.00179,0.00256,-0.47441,-7e-05,-0.00026,2e-05
1788791882.543696,0.0032,0.00546,-0.4846,5e-05,-0.0004,2e-05
1788791882.563055,-0.00029,0.00439,-0.5083,0.00018,-0.00018,-3e-05
1788791882.583476,-0.00138,0.00409,-0.48992,0.00014,-0.00029,-3e-05
1788791882.603781,-0.00466,0.00746,-0.51283,0.00041,-3e-05,-5e-05
1788791882.623059,-0.00574,0.00852,-0.49034,0.00016,-0.00013,-0.00015
1788791882.643437,-0.00194,0.00649,-0.49245,0.00012,-0.00023,-0.0002
1788791882.663779,0.00052,0.01054,-0.5028,-2e-05,-0.00026,-7e-05
1788791882.683047,-0.00049,0.00367,-0.51503,0.00012,-0.00024,-4e-05
1788791882.703368,-2e-05,0.00222,-0.52397,0.0001,-0.0002,0.00017
1788791882.723711,-0.00258,0.00389,-0.53267,0.00028,-0.00011,-1e-05
1788791882.744034,-0.00052,0.00379,-0.53284,0.00023,-0.00027,6e-05
1788791882.763375,0.00201,0.00469,-0.51676,5e-05,-0.00035,-4e-05
1788791882.783711,-0.00692,0.00785,-0.53326,0.00012,-0.00028,-3e-05
1788791882.803202,-0.00075,0.00479,-0.53995,0.00014,-0.00038,7e-05
1788791882.823240,0.00076,0.00273,-0.5327,9e-05,-0.00034,2e-05
1788791882.843152,-0.00022,0.00358,-0.55127,0.00022,-0.00022,-0.0
1788791882.863558,0.00169,0.00426,-0.53714,5e-05,-0.00016,5e-05
1788791882.883938,0.00171,0.00725,-0.54666,7e-05,-0.00044,-0.0
1788791882.903272,0.00166,0.00612,-0.5461,-9e-05,-0.0003,3e-05
1788791882.923620,-0.00074,0.00747,-0.54295,-2e-05,-0.00022,-3e-05
1788791882.943978,0.00037,0.00768,-0.56709,9e-05,-0.00031,2e-05
1788791882.963280,0.00489,0.00949,-0.55732,5e-05,-0.00026,-2e-05
1788791882.983629,0.00258,0.00859,-0.54927,9e-05,-0.00035,-0.00016
1788791883.004011,-0.0014,0.00806,-0.54031,-5e-05,-0.00025,-0.00013
